Speaker,Steam (ST),Umineko Project (UP),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Traditional (CHT),Chinese Simplified (CN),Italian (Ars Magica) (Old) (ITA),Turkish (TR)
Ushiromiya Natsuhi,"""R‐ridiculous!!"" ","""R‐ridiculous!!""","""R, ridiculous!!""",「ばッ、馬鹿馬鹿しい！！」,[=JP],"""В‐вздор!""","""R‐Ridículo!!""",「荒、荒唐荒唐！！」,[=CHT],"""R-Ridicolo!!""","""Ç-Çok saçma!!"""
Ushiromiya Natsuhi,"""They want to trade the Headship of the glorious Ushiromiya family for...m-money?! That's blasphemy!! Blasphemy against the Ushiromiya family!!"" ","""They want to trade the succession to the glorious Ushiromiya family for...m‐money?! Blasphemy!! Blasphemy against the Ushiromiya family!!""","""They want to trade the inheritance of the glorious Ushiromiya family for, ...m, money?! Blasphemy!! Blasphemy against the Ushiromiya family!!""",「栄光ある右代宮家の家督を、…お、お金でやり取りしようというのですか？！　冒涜です！！　右代宮家への冒涜ですッ！！」,[=JP],"""Они хотят купить наследство славной семьи Уширомия за... д‐деньги?! Кощунство! Поношение семьи Уширомия!!!""","""Ela quer trocar a sucessão da gloriosa família Ushiromiya por...d‐dinheiro?! Blasfêmia!! É uma blasfêmia contra à família Ushiromiya!!""",「竟然要以，…金、金錢出賣榮耀的右代宮家家督？！這是褻瀆！！是對右代宮家的褻瀆！！」,「竟然要以，…金、金钱出卖荣耀的右代宫家家督？！这是亵渎！！是对右代宫家的亵渎！！」,"""Vuole scambiare l'eredità della gloriosa famiglia Ushiromiya per... s-soldi?! Blasfemia!! Blasfemia contro la nostra famiglia!!""","""Şanlı Ushiromiya ailesinin halefliğini...p-para karşılığında değiş tokuş etmek mi istiyorlar?! Bu resmen hakaret!! Ushiromiya ailesine bir hakaret!!"""
Ushiromiya Kyrie,"""...Please listen without getting mad. ...About how much wealth does this glorious Ushiromiya family have right now? Are we really that affluent?"" ","""......Listen without getting mad. ...About how much wealth does this glorious Ushiromiya family have right now? Are we really that affluent?""",[=UP],「……怒らずに聞いて。…その栄光ある右代宮家には今、どの程度の財産があるの？　私たちはそんなにも裕福なの？」,[=JP],"""......Послушай, только без сердца. ...Насколько богата эта славная семья Уширомия сейчас? Действительно ли мы настолько состоятельны?""","""......Ouça sem ficar se irritando. ...Aproximadamente quanto essa gloriosa família Ushiromiya tem agora? Nós somos tão afluentes assim?""",「……別發火，聽我說。…這個榮耀的右代宮家，現在還有多少財產？我們有那麼富裕嗎？」,「……别发火，听我说。…这个荣耀的右代宫家，现在还有多少财产？我们有那么富裕吗？」,"""... Ascolta senza arrabbiarti. ... Ora, quanta ricchezza ha questa gloriosa famiglia? Siamo davvero così ricchi?""","""......Sinirlenmeden dinleyin. ...Bu şanlı Ushiromiya ailesinin şu anda ne kadar serveti var? Gerçekten o kadar varlıklı mıyız?"""
Ushiromiya Natsuhi,"""Th-The definition of affluence is not dependent on property. It is about heart! Our financial situation has nothing to-"" ","""Th‐the definition of affluence is not dependent on property. It is about heart! Of what relevance is our financial situation to—""","""Th, the definition of affluence is not dependent on property. It is about heart! Our financial situation has nothing to-""",「ゆ、裕福の定義とは財産で決まるのではありません。心の持ちようで決まります！　私たちの財産状況が一体何の、」,[=JP],"""С‐степень богатства не зависит от имущества. Речь идёт о сердце! Наше финансовое положение не имеет никакой...""","""A‐A definição de afluentes não é dependente de propriedade. É sobre coração! De que relevância é a nossa situação financeira atu—""",「富、富裕的定義不是以財產來決定的。而是以心態來決定的！我們的財產狀況究竟哪裡…」,「富、富裕的定义不是以财产来决定的。而是以心态来决定的！我们的财产状况究竟哪里…」,"""L-La definizione di ricchezza non dipende dalle proprietà. Dipende dal cuore! La nostra situazione finanziaria non ha nu-""","""Z-Zenginliğin tanımı mala mülke bağlı değildir. Gönülle ilgilidir! Mali durumumuz ile ne alakası—"""
,Krauss interrupted Natsuhi as she started to go on and on emotionally. ,Krauss interrupted Natsuhi as she started to go on emotionally.,Krauss interrupted Natsuhi as she started to go on and on emotionally.,感情的にまくし立てる夏妃を、蔵臼が制する。,[=JP],"Краусс прервал речь Нацухи, становящуюся все эмоциональней.",Krauss interrompeu Natsuhi no momento em que ela começou a ficar emocional.,藏臼制止了衝動起來說個沒完的夏妃。,藏臼制止了冲动起来说个没完的夏妃。,Krauss interruppe Natsuhi mentre stava per continuare a blaterare emotivamente.,"Krauss, Natsuhi duygusal olarak devam etmeye başladığında sözünü kesti."
,"In this situation, the more she went on like that, the worse it would actually sound. ","In this situation, the more she went on and on emotionally, the worse it would actually sound for them."," In this situation, the more she went on and on emotionally, the worse it would actually sound.",今の状況では、彼女が感情的にまくし立てればまくし立てるほど、それは逆に聞こえた。,[=JP],"В такой ситуации, чем больше она говорила, тем более отрицательную окраску принимали её слова.","Nessa situação, quando mais ela ficar emocional e continuar, pior acabaria ficando para o lado deles.",現在這狀況，她越是感情用事地爭辯，就越是讓人聽出相反的意思。,现在这状况，她越是感情用事地争辩，就越是让人听出相反的意思。,"In questa situazione, più continuava a blaterare, peggio suonava.","Bu durumda, duygusal olarak ne kadar devam ederse, aslında onlar için o kadar kötü olacaktı."
Ushiromiya Krauss,"""...Me aside, I hear your current situations are...quite unfavorable."" ",""".........Myself aside, I have heard that the rest of you are in pretty unfavorable situations right now.""","""......Other than me, I've heard that the rest of you are in pretty unfavorable situations right now.""",「………私はともかく、お前たちの状況は芳しくないと聞いているよ。」,「………私はともかく、お前たちの状況は芳しくないと聞いているよ」,"""......Кстати, я слышал, что все вы сейчас находитесь в крайней невыгодных ситуациях, в отличие от меня.""",""".........Deixando meu caso de lado, eu ouvi que o resto de vocês estão em situações bem desfavoráveis no momento.""",「………我是還好，不過據我所聞，你們的狀況是有點不佳呢。」,「………我是还好，不过据我所闻，你们的状况是有点不佳呢。」,"""... Oltre a me, ho sentito che anche voi siete in situazioni piuttosto sfavorevoli.""",""".........Kendimi bir kenara bırakacak olursam, geri kalanınızın şu anda pek iyi durumlarda olmadığını duydum."""
Ushiromiya Eva,"""Oh, really? I've heard that your financial situation's really bad too. ","""Ohhh, really? I've heard that your financial situation is extremely unfavorable, actually?""","""Oh, really? I've heard that your financial situation was extremely unfavorable. ",「あぁら、そう？　兄さんの財政状況だって、相当に芳しくないと聞いているわよぅ？,「あぁら、そう？　兄さんの財政状況だって、相当に芳しくないと聞いているわよぅ？」,"""Да ну? Я слышала, что ты находился в очень затруднительном финансовом положении.""","""Ora, é mesmo? Eu ouvi que sua situação financeira está extremamente desfavorável, não é verdade?""",「哎呀，是麼？我聽說，哥的財政狀況也是相當的不佳喲？」,「哎呀，是么？我听说，哥的财政状况也是相当的不佳哟？」,"""Oh, davvero? Ho sentito che la tua situazione finanziaria era estremamente sfavorevole.","""Ohhh, gerçekten mi? Finansal durumunun son derece kötü durumda olduğunu duydum, gerçekten öyle mi?"""
Ushiromiya Eva,"Offering up more and more as collateral for new money to gamble with. Repeatedly dabbling in new gambles, unable to accept your losses. ...If we count what's going on behind the scenes, you're in even bigger financial straits than the rest of us."" ","""Repeatedly exchanging collateral for new money to gamble with. Repeatedly dabbling in gamble after gamble, unable to accept your losses. ...If you want to talk about our state of affairs, not one of us here is as impoverished as you, Nii‐san.""","Repeatedly exchanging collateral for new money to gamble with. Repeatedly dabbling in new gambles, unable to accept your losses. ...Considering our actual state of affairs, none of us are as impoverished as you, Nii-san.",次々担保に入れて新しい博打の掛け金にして。負けを認めないために次々新しい博打に手を出して。…内情の話をしたら、この中で兄さんほど火の車の人間は存在しないわ。,「次々担保に入れて新しい博打の掛け金にして。負けを認めないために次々新しい博打に手を出して。…内情の話をしたら、この中で兄さんほど火の車の人間は存在しないわ」,"""Неоднократно обмениваешь залоги для игры с новыми деньгами. Неоднократно ввязываешься в новые авантюры, не сумев примириться со своими потерями. ...Учитывая наше текущее положение, никто из нас не является таким бедным, как ты, нии‐сан.""","""Repetidamente trocando garantias financeiras por dinheiro para apostar. Repetidamente brincando com aposta após aposta, incapaz de aceitar suas perdas. ...Se você quer falar sobre o estado de nossas finanças, nenhum de nós está tão empobrecido quanto você, nii‐san.""",「接連不斷地抵押財物，換取投身新的賭局的賭金。由於不肯認輸，哥你是接連不斷地在投身新賭局哦。…要講內情，我們之中就沒有比哥更揭不開鍋的人了。」,「接连不断地抵押财物，换取投身新的赌局的赌金。由于不肯认输，哥你是接连不断地在投身新赌局哦。…要讲内情，我们之中就没有比哥更揭不开锅的人了。」,"Scambiando ripetutamente garanzie con nuovi soldi con cui giocare d'azzardo. Occupandoti sempre di nuove scommesse, rifiutando le tue perdite. ... Considerando il tuo stato degli affari attuale, nessuno di noi è tanto povero quanto te, Nii-san.","""Kumar oynayacak yeni para için teminat olarak giderek daha fazlasını sunmak. Kayıplarını kabullenemeyerek, sürekli kumar oynuyorsun. ...Eğer durumlarımız hakkında konuşmak istiyorsan, burada hiçbirimiz senin kadar yoksul değiliz, Nii-san."""
Ushiromiya Eva,"""Just how much money have you lost, Nii-san? You have no talent!"" ","""How much have you lost, Nii‐san? You have no talent!"""," You've suffered massive losses, Nii-san. You have no talent!""",どれだけ損失を出してんのよ、兄さんは。才能ないのよ！」,「どれだけ損失を出してんのよ、兄さんは。才能ないのよ！」,"""Ты понёс огромные убытки, нии‐сан. У тебя нет таланта!""","""Quanto você já perdeu, nii‐san? Você não tem talento!""",「哥你到底損失了多少啊。真是沒才能啊！」,「哥你到底损失了多少啊。真是没才能啊！」,"Hai perso molto, Nii-san. Non hai talento!""","""Ne kadar kaybettin, Nii-san? Hiç yeteneğin yok!"""
Ushiromiya Natsuhi,"""Wh-Who are you saying has no talent?!! And what do you mean, financial straits?!!"" ","""W‐who are you saying has no talent?!! And impoverished, you say?!!""","""W, who are you saying has no talent?!! And impoverished, you say?!!""",「だ、誰の才能がないというのですかッ！！　言うに事欠き、火の車とは！！」,[=JP],"""К‐кто ты такая, чтобы говорить об отсутствии таланта?!! Нищий, ты говоришь?!!""","""Q‐Quem você está acusando de não ter talento?! E você disse empobrecido?!""",「你、你說誰沒有才能！！負債累累？真是一派胡言！！」,「你、你说谁没有才能！！负债累累？真是一派胡言！！」,"""C-Chi sarebbe a non avere talento?!! E che ha perso molto, dici?!!""","""K-Kime yeteneksiz diyorsun?!! Ve bize yoksul mu diyorsun?!!"""
,"Natsuhi became indignant once more, but Krauss raised his hand again and interrupted her. ","Natsuhi became indignant once again, but Krauss raised his hand again and interrupted her.",[=UP],再び夏妃が激昂するが、蔵臼もまた再び手を上げてそれを制した。,[=JP],"Нацухи снова стала возмущаться, но Краусс вновь поднял руку и перебил её.","Natsuhi ficou indignada, mas Krauss levantou sua mão contra ela, interrompendo sua esposa.",夏妃又一次地激動了起來，藏臼也再次舉手制止了她。,夏妃又一次地激动了起来，藏臼也再次举手制止了她。,"Natsuhi si indignò ancora una volta, ma Krauss alzò ancora la sua mano e la interruppe.","Natsuhi bir kez daha öfkelendi, ancak Krauss tekrar elini kaldırdı ve onun sözünü kesti."
Ushiromiya Krauss,"""...It seems you are making a small mistake. Business is not something that can be judged based on current progress alone. For someone with a long-term outlook on business such as myself, it may sometimes appear at a glance that I have suffered significant short-term losses."" ","""......It seems you are making a small mistake. Business is not something that can be judged based simply on progress. When someone conducts business with a view to the long‐term as I do, it may sometimes appear at a glance that they have suffered some significant short‐term losses.""","""......It seems you are making a small mistake. Business is not something that can be judged based simply on progress. For someone with a long-term outlook on business such as myself, it may sometimes appear at a glance that I have suffered some significant short-term losses.""",「……多少の誤解があるようだ。ビジネスは経過で判断できるものではない。私のような長期的視野でのビジネスともなると、時に短い単位期間では一見、大きな損失を出しているようにも見えるものだ。」,「……多少の誤解があるようだ。ビジネスは経過で判断できるものではない。私のような長期的視野でのビジネスともなると、時に短い単位期間では一見、大きな損失を出しているようにも見えるものだ」,"""......Кажется, вы совершаете небольшую ошибку. Бизнес — не та вещь, о которой можно судить только на основе прогресса. Кому‐то, с такими же долгосрочными прогнозами на бизнес, как у меня, может иногда казаться, что я понёс некоторые значительные потери.""","""......Parece que você está cometendo um pequeno engano. Negócios não são algo que você possa julgar baseado simplesmente em progresso. Quando alguém conduz negócios visando o longo prazo como eu fiz, algumas vezes podem parecer, no primeiro momento, que se sofreu significantes perdas em um curto prazo.""",「……看來多少有點誤會呢。商務不是以過程就能判斷的東西。像我這種以長遠眼光做的商務，時而會在較短的單位時間裡，被一眼看成蒙受了巨大的損失。」,「……看来多少有点误会呢。商务不是以过程就能判断的东西。像我这种以长远眼光做的商务，时而会在较短的单位时间里，被一眼看成蒙受了巨大的损失。」,"""... Sembra che stia facendo un piccolo errore. Gli affari non possono solamente essere giudicati dal progresso. Per qualcuno come me, con una prospettiva a lungo termine degli affari, potrebbe sembrare, con una piccola occhiata, che abbia sofferto di qualche perdita a corto termine importante.""","""......Görünüşe göre küçük bir hata yapıyorsunuz. İş dünyası, yalnızca ilerlemeye bakılarak değerlendirilebilecek bir şey değildir. Benim yaptığım gibi uzun vadeli düşünerek iş yapan biri, bazen ilk bakışta kısa vadede önemli kayıplar yaşamış gibi görünebilir."""
Ushiromiya Rudolf,"""Aniki, we've been collecting evidence. Your position right now isn't one to be proud of. ","""Aniki, we've been collecting evidence. Now is not the time to be putting up a front.""","""Aniki, we've been collecting evidence. Your position right now is not one to be proud of. ",「兄貴。裏は取れてんだぜ。今は見栄を張ってる場合じゃない。,「兄貴。裏は取れてんだぜ。今は見栄を張ってる場合じゃない」,"""Аники, мы собрали доказательства. Сейчас твоим положением нельзя гордиться.""","""Aniki, nós viemos coletando evidências. Agora não é hora de começar a ser pretensioso.""",「大哥。你的底子已經曝光了。現在可不是死撐門面的時候。」,「大哥。你的底子已经曝光了。现在可不是死撑门面的时候。」,"""Aniki, abbiamo raccolto delle prove. Non dovresti essere fiero della tua posizione.","""Aniki, delil topluyorduk. Şimdi gösteriş yapmanın sırası değil."""
Ushiromiya Rudolf,"...So this is what Kyrie's trying to say. ...Every one of us has got money trouble. And {f:5:Beatrice} has 10 tons of gold."" ","""......So this is what Kyrie is trying to say. ......Every last one of us is stuck for money. And {f:5:Beatrice} has ten tons of gold.""","......So this is what Kyrie is trying to say. ......Every one of us is in trouble with regards to money. And Beatrice has 10 tons of gold.""",……つまり霧江はこう言いたいのさ。……俺たちは全員が全員、カネに困ってる。そしてベアトリーチェは１０ｔの黄金を持っている。」,「……つまり霧江はこう言いたいのさ。……俺たちは全員が全員、カネに困ってる。そしてベアトリーチェは１０ｔの黄金を持っている」,"""......Короче, вот что хочет сказать Кирие. ......У каждого из нас имеются неприятности, связанные с деньгами. А у {f:5:Беатриче} есть 10 тонн золота.""","""......Isto é o que a Kyrie está tentando dizer. ......Cada um de nós está com problemas financeiros. E a {f:5:Beatrice} tem dez toneladas de ouro.""",「……霧江她想說的是這個。……我們所有人，全都在為錢所困。其次，這貝阿朵莉切擁有著十吨黃金。」,「……雾江她想说的是这个。……我们所有人，全都在为钱所困。其次，这贝阿朵莉切拥有着十吨黄金。」,"... Quindi questo è ciò che Kyrie vuole dire. ... Ognuno di noi è nei guai per quanto riguarda i soldi. E Beatrice ha 10 tonnellate d'oro.""","""......Yani Kyrie'nin söylemeye çalıştığı şey bu. ......Her birimiz paraya sıkışmış durumdayız. Ve {f:5:Beatrice}'in on ton altını var."""
Ushiromiya Kyrie,"""...As the only person who knows the location of the 10 tons of gold, {f:5:Beatrice} is planning on using it to force us to sell the Headship. ...About how much is 10 tons of gold worth?"" ","""......As the only person who knows the location of the ten tons of gold, {f:5:Beatrice} is planning on using it to force us to sell the position of family head. ...About how much is ten tons of gold worth?""","""......As the only person who knows the location of the 10 tons of gold, Beatrice is planning on using it to force us to sell the inheritance. ...About how much is 10 tons of gold worth? ",「……ベアトリーチェは、自分だけが在り処を知る１０ｔの黄金で、私たちに家督を売らせるつもりなのよ。…１０ｔの黄金の価値はどのくらい？,「……ベアトリーチェは、自分だけが在り処を知る１０ｔの黄金で、私たちに家督を売らせるつもりなのよ。…１０ｔの黄金の価値はどのくらい？」,"""......Как единственный человек, знающий, где находится 10 тонн золота, {f:5:Беатриче} планирует использовать его, чтобы заставить нас продать наследство. ...Сколько приблизительно стоит 10 тонн?""","""......Como a única pessoa que sabe sobre a localização das dez toneladas de ouro, ela está planejando usar isso para nos forçar a vendermos a posição de chefe da família. ...Aproximadamente quanto vale dez toneladas de ouro?""",「……貝阿朵莉切是想以只有她知道在哪的十吨黃金，讓我們賣出家督。…十吨黃金價值多少錢呢？」,「……贝阿朵莉切是想以只有她知道在哪的十吨黄金，让我们卖出家督。…十吨黄金价值多少钱呢？」,"""... Essendo l'unica persona che conosce l'ubicazione dell'oro, Beatrice sta pianificando di utilizzarlo per forzarci a vendere l'eredità. ... All'incirca, quanto valgono dieci tonnellate?","""......{f:5:Beatrice}, on ton altının yerini bilen tek kişi olarak, bunu aile reisliği pozisyonunu satmaya zorlamak için kullanmayı planlıyor. ...On ton altının değeri yaklaşık ne kadar?"""
Ushiromiya Kyrie,"""At a rough estimate, ...let's say 2 billion yen? ......No, 20 billion yen. With that much piled up, we'd be ecstatic to accept her as the Successor."" ","""As a rough estimate... 2 billion yen? .........No, 20 billion yen. If she threw that much our way, we would be jumping with joy to accept her as the successor to the head.""","As a rough estimate..., 2 billion yen? .........No, 20 billion yen. With that much piled up, we would be mad with joy and accept her as the next head.""",ざっと見積もって…、２０億？　………いえ、２００億ね。これだけを積まれたら、私たちは狂喜して彼女を次期当主に認めるわ。」,「ざっと見積もって…、２０億？　………いえ、２００億ね。これだけを積まれたら、私たちは歓喜して彼女を次期当主に認めるわ」,"""По самым грубым прикидкам... 2 миллиарда иен? .........Нет, 20 миллиардов. Из этого следует, что мы должны сходить с ума от радости и принять её как новую главу.""","""Em uma estimativa rápida... 2 bilhões de iene? .........Não, 20 bilhões. Se ela jogar todo esse dinheiro na nossa frente, nós aceitaríamos com muito prazer sua sucessão como chefe.""",「粗略估算下的話…，二十億？………不，兩百億。有這麼多錢堆過來，我們肯定會欣喜若狂地承認她為下任當主。」,「粗略估算下的话…，二十亿？………不，两百亿。有这么多钱堆过来，我们肯定会欣喜若狂地承认她为下任当主。」,"Più o meno... due miliardi di yen? ... No, venti miliardi. Con tutti quei soldi, saremmo pazzi di gioia e l'accetteremmo come prossima capostipite.""","""Kabaca bir tahminle... 2 milyar yen mi? .........Hayır, 20 milyar yen. Eğer bu kadarını önümüze atsaydı, onu aile reisinin halefi olarak kabul etmek için sevinçten havalara uçardık."""
,The scene returned to silence. ,The scene returned to silence.,[=UP],シンと静まり返る。,[=JP],И вновь воцарилась тишина.,Um silêncio mortal tomou conta do ambiente.,大家一下子安靜了下來。,大家一下子安静了下来。,Si ritornò al silenzio.,Ortam tekrar sessizliğe büründü.
,"In fact, the rain and wind felt even noisier now. ...It was probably the sound of the windstorm racing through the insides of their minds... ",Even the rain and the wind sounded louder. ...That was probably also the sound of the windstorm that disturbed the insides of their minds..., Even the rain and the wind sounded louder....That was probably the sound of the windstorm that disturbed the insides of their minds...,いや、むしろ風雨の音が賑やかにさえ感じた。…それは多分、彼らの心の中を掻き乱す暴風の音でもあるかもしれない…。,[=JP],"Даже ветер с дождём зазвучали громче. ...То, вероятно, был звук бури, будоражащей их головы...",Até o som da chuva e do vento haviam ficado mais alto. ...Aquele provavelmente também era o som das tempestades que perturbavam o interior de suas mentes...,不，甚至安靜得能感受到風雨的吵鬧之聲。…而這多半，也是將他們的內心攪得亂七八糟的暴風之聲吧…。,不，甚至安静得能感受到风雨的吵闹之声。…而这多半，也是将他们的内心搅得乱七八糟的暴风之声吧…。,Persino la pioggia e il vento sembravano più forti. ... Era probabilmente il suono della tempesta che disturbava le loro menti...,Yağmurun ve rüzgârın sesi bile daha yüksekti. ...Muhtemelen bu da zihinlerinin içini rahatsız eden fırtınanın sesiydi...
Ushiromiya Eva,"""......Th-This isn't funny. ...To think we'd give up the Headship to some woman of doubtful origin... ...just because she had a little money stored up..."" ","""............Y‐...you must be joking. ...The thought that just because she tossed me a little money.........I'd give up the family headship to some woman of doubtful origin......""","""............Th, ...this isn't funny. ...The thought that we'd give up the inheritance to some woman of doubtful origin..., ......just because they had a little money stored up......""",「…………じょ、…冗談じゃないわよ。…多少お金を積まれたくらいで…、……どこの馬の骨とも知れない女に家督を譲るなんて……。」,「…………じょ、…冗談じゃないわよ。…多少お金を積まれたくらいで…、……どこの馬の骨とも知れない女に家督を譲るなんて……」,"""............Э... это не смешно. ...Сама мысль о том, что мы должны отказаться от наследства в пользу какой‐то женщины сомнительного происхождения... только потому, что они отложили про запас немного денег...""","""............V‐Você deve estar brincando! ...O pensamento de só porque ela jogou um pouco de dinheiro pra mim.........eu iria desistir da liderança da família para uma mulher de origem tão duvidosa......""",「…………開、…開什麼玩笑。…僅憑多多少少地堆了點錢…，……就得把家督讓給從哪冒出來都不知道的女人麼……」,「…………开、…开什么玩笑。…仅凭多多少少地堆了点钱…，……就得把家督让给从哪冒出来都不知道的女人么……」,"""... N... Non è divertente. ... Il pensiero di dare l'eredità ad una donna di dubbie origini... solo perché ha un po' di soldi da parte...""","""............Ş-...Şaka yapıyor olmalısın. ...Bana biraz para verdi diye.........aile reisliğini kökeni şüpheli bir kadına bırakacağım düşüncesi......"""
Ushiromiya Hideyoshi,"""Don't be stupid...! The Headship wasn't even yours in the first place, right...?! We've got nothin' to lose and money to gain. We'll have to calculate our profit and loss, but it's somethin' worth listenin' to...!"" ","""Don't talk stupid...! You weren't even going to succeed Father as head in the first place...! We have nothin' to lose and money to gain. Sure, we'll have to calculate our profit and loss, but it's somethin' worth listenin' to...!""","""Don't talk stupid...! This wasn't even your inheritance in the first place, right...?! We have nothin' to lose and money to gain. We'll have to calculate our profit and loss, but it's somethin' worth listenin' to...!""",「アホ抜かせ…！　元々お前に家督なんぞ行かんやないか…！　わしらは何も失わずに、カネだけをもらえる話やで。そら、損得勘定は必要やろが、聞くに値する話や…！」,[=JP],"""Не говори глупости!.. Строго говоря, это даже не твоё наследство, так?! Нам нечего терять и есть деньжата, которые можно получить. Нам надо бы просчитать нашу прибыль и убытки, но это стоит того, чтобы выслушать!..""","""Não fale uma idiotice dessas...! Pra começo de conversa, você nem vai suceder o pai como novo chefe...! Não temos nada a perder, só dinheiro pra ganhar. Claro, teríamos que calcular nossos lucros e perdas, mas é algo que vale a pena ouvir...!""",「別犯傻…！你原先不就是當不了家督的嘛…！俺們麽有任何損失，只會有錢拿吶。雖然是要計算下得失，但這事值得應允吶…！」,「别犯傻…！你原先不就是当不了家督的嘛…！俺们么有任何损失，只会有钱拿呐。虽然是要计算下得失，但这事值得应允呐…！」,"""Non dire stupidaggini...! Non è neanche la tua eredità, in primo luogo, no...?! Non abbiamo nulla da perdere, solo soldi da prendere. Dovremo calcolare il nostro profitto e le perdite, ma è qualcosa che vale la pena ascoltare...!""","""Aptalca konuşma...! Sen zaten reisliği alamayacaktın...! Kaybedecek bir şeyimiz ve kazanacak paramız yok. Elbette, kâr ve zararımızı hesaplamamız gerekecek, ama bu dinlemeye değer bir şey...!"""
,They knew that Krauss had eaten up much of the Ushiromiya family's assets. ,They knew that much of the Ushiromiya family assets had been eaten up by Krauss.,[=UP],右代宮家の財産は、かなりが蔵臼に食い潰されていることがわかっている。,[=JP],"Они знали, что большая часть активов семьи Уширомия растрачена Крауссом.",Eles sabem que boa parcela dos ativos da família Ushiromiya já havia sido devorado por Krauss.,他們知道右代宮家的財產，已經被藏臼坐吃山空吃掉了不少。,他们知道右代宫家的财产，已经被藏臼坐吃山空吃掉了不少。,Sapevano che molti beni della famiglia Ushiromiya erano stati mangiati da Krauss.,Ushiromiya ailesinin varlıklarının çoğunun Krauss tarafından tüketilmiş olduğunu biliyorlardı.
,"So, it was dregs that remained of that inheritance, ...versus ""the cost of being accepted as the Head"" that {f:5:Beatrice} would pay. ","The dregs that remained of that inheritance...versus the ""compensation for being accepted as the head"" that {f:5:Beatrice} would pay."," The dregs that remained of that inheritance, ...versus the 'compensation for being accepted as the head' that Beatrice would pay.",その残り滓の遺産分配と、ベアトリーチェが支払う“家督を認める対価”。,[=JP],"Ошметки этого наследства... против уплачиваемой {f:5:Беатриче} ""компенсации"" за признание главой.","Os resíduos que permaneceram da herança...contra a ""compensação por aceitar ele como chefe"" era o que {f:5:Beatrice} iria pagar.",分殘渣的遺產分配，與貝阿朵莉切支付的“承認她為家督的報酬”一比。,分残渣的遗产分配，与贝阿朵莉切支付的“承认她为家督的报酬”一比。,I residui di quell'eredità... contro il ‘compenso per essere accettata come capo’ che Beatrice avrebbe pagato.,"Bu mirastan geriye kalan kırıntılara karşılık... {f:5:Beatrice}'in ödeyeceği ""reis olarak kabul edilme tazminatı""."
,"It was a shame, but honestly, the former was less enticing than the latter. ","It was a shame, but honestly, the former was less enticing than the latter."," It was a shame, but honestly, the former was less enticing than the latter.",残念だが、前者より後者の方が期待できるというのが本音だった。,[=JP],"Жаль, но, говоря начистоту, первое было менее привлекательней последнего.","É uma vergonha, mas, honestamente, o primeiro foi menos sedutor que o último.",很遺憾，說真心話，比起前者，後者更值得期待。,很遗憾，说真心话，比起前者，后者更值得期待。,"Era una vergogna ma, in onestà, la prima era meno allettante della seconda.","Utanç vericiydi, ama dürüst olmak gerekirse, ikincisi ilkinden çok daha cezbediciydi."
Ushiromiya Rudolf,"""...Well, it probably wouldn't end up as four equal portions. Since Aniki would be giving up his position of Successor, his portion would have to be larger. ...Makes me feel kinda jealous, you know?"" ","""...Well, it probably wouldn't end up as four equal portions. Since Aniki would be giving up his position of successor, his portion would have to be larger. ...Makes me feel kinda jealous, you know?""","""...Well, it probably wouldn't end up as four equal portions. Since Aniki would be giving up his position as the next head, his portion would have to be larger. ...Makes me feel kinda jealous, you know?""",「…まぁ、四等分とはならねぇだろうな。次期当主を降りることになる兄貴に、取り分が多くなるのは止むを得ねぇだろうよ。…羨ましい話だぜ？」,[=JP],"""...Что ж, четырёх равных долей, судя по всему, не получится. Поскольку Аники будет отказываться от положения главы семьи, его доля должна быть больше. ...Мне даже завидно, знаешь ли.""","""...Bem, isso provavelmente não acabaria em quatro porções iguais. Como o aniki estaria desistindo da sua posição de sucessor, a parte dele teria que ser maior. ...Isso me deixa com um pouco de inveja, saiba?""",「…不過，這可不會是四等分的吧。辭任下任當主的大哥，份額拿多點也是沒辦法的事啊。…令人羨慕啊。」,「…不过，这可不会是四等分的吧。辞任下任当主的大哥，份额拿多点也是没办法的事啊。…令人羡慕啊。」,"""... Beh, probabilmente non finirà divisa in quattro porzioni uguali. {n}Aniki dovrebbe perdere la sua posizione di capo, quindi la sua parte dovrebbe essere più larga. ... Mi fa sentire geloso, sai?""","""...Yani, muhtemelen dört eşit porsiyon olarak sonuçlanmazdı. Aniki haleflik pozisyonundan vazgeçeceği için, onun payının daha büyük olması gerekirdi. ...Bu beni biraz kıskandırıyor."""
Ushiromiya Krauss,"""............"" ",""".................................""","""........................""",「………………………………。」,「………………………………」,[=OG],[=UP],[=JPC],[=JPC],"""...""",[=UP]
