Speaker,Umineko Project (UP),Steam - Umineko Project (ST),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Simplified (CN),Chinese Traditional (CHT),Italian - Ars Magica - Old (ITA),Italian - Majotachi no Sub - New (IT),Spanish (ES),Arabic (AR)
Ushiromiya Jessica,"""Feh......! You can bet your ass they're just going on about money money money again.""","""Heh...! I'm sure it's all just ""Money money money!"". ","""Heh......!  I'm sure they're just talking about 'money money money!'.  ",「へ……！　どうせまた、カネカネカネ！って話だろうぜ。,「へ……！　どうせまた、カネカネカネ！　って話だろうぜ」,"""Хе!.. Бьюсь об заклад, что они только и судачат, что о деньгах, деньгах да деньгах!""","""Ehh......! Pode apostar que eles só vão ficar falando ""dinheiro dinheiro dinheiro"" de novo.""",「嘿……！横竖又是，钱钱钱！的事嘞。」,「嘿……！橫豎又是，錢錢錢！的事嘞。」,"""Eh...! Sono sicura che stanno solo parlando di ‘soldi, soldi, soldi’.",[=UP],"""¡Je!... ¡Seguro que estarán hablando de ‘dinero, dinero, dinero’!""","""ﺗﺸﻪ......! ﺃﺭﺍﻫﻦ ﺃﻧﻬﻢ ﻻ ﻳﺘﺤﺪﺛﻮﻥ ﺇﻻ ﻋﻦ ﺍﻟﻤﺎﻝ ﻭﺍﻟﻤﺎﻝ ﻭﺍﻟﻤﺎﻝ ﻣﺠﺪﺩﺍً."""
Ushiromiya Jessica,"""...They act like they're so rich most of the time, but when it comes down to handing out cash, they start hemming and hawing. Why can't they just be generous and split it evenly between everyone?""","...Even though they act like they're so rich most of the time, when it gets tough, they all start getting pushy. Why don't they just be graceful and split it evenly between everyone?"" ","...Even though they act like they're so rich most of the time, when it gets tough, they all start getting pushy.  Why don't they just be graceful and split it evenly between everyone?""",…普段、さんざん金持ちだと吹聴してるくせに、いざとなったらもったいぶりやがる。ぱーっと気前良く、みんなで山分けすりゃあいいのによ。」,「…普段、さんざん金持ちだと吹聴してるくせに、いざとなったらもったいぶりやがる。ぱーっと気前良く、みんなで山分けすりゃあいいのによ」,"""...И хотя большую часть времени они строят из себя богачей, как только наступает пора давать деньги, они сразу начинают мямлить. Почему бы им просто культурно не поделиться поровну?""","""...Eles agem o tempo todo como se fossem ricos, mas quando se trata de emprestar dinheiro, eles começam a hesitar e gaguejar. Por que eles não podem ser generosos e dividir uniformemente entre todos?""",「…平时么，老是在吹嘘有钱，真有事了么，却又假正经起来了。痛快点大大方方地大家平分不就好了。」,「…平時麼，老是在吹噓有錢，真有事了麼，卻又假正經起來了。痛快點大大方方地大家平分不就好了。」,"... Nonostante si comportino come se fossero così ricchi la maggior parte del tempo, quando le cose si fanno dure, iniziano tutti ad essere aggressivi. Perché non sono semplicemente generosi e se lo spartiscono equamente tra tutti?""",[=UP],"""... Aunque siempre actúan como unos multimillonarios, cuando las cosas se ponen difíciles, se ponen agresivos. ¿No podrían ser elegantes y repartirlo en partes iguales?""","""...ﻳﺘﺼﺮﻓﻮﻥ ﻭﻛﺄﻧﻬﻢ ﺃﺛﺮﻳﺎﺀ ﺟﺪﺍً ﻣﻌﻈﻢ ﺍﻟﻮﻗﺖ، ﻟﻜﻦ ﻋﻨﺪﻣﺎ ﻳﺤﻴﻦ ﻭﻗﺖ ﺗﻮﺯﻳﻊ ﺍﻟﻨﻘﻮﺩ، ﻳﺒﺪﺃﻭﻥ ﺑﺎﻟﺘﺮﺩﺩ ﻭﺍﻟﻤﻤﺎﻃﻠﺔ. ﻟﻢَ ﻻ ﻳﻜﻮﻧﻮﻥ ﻛﺮﻣﺎﺀ ﻓﺤﺴﺐ ﻭﻳﻘﺴﻤﻮﻧﻪ ﺑﺎﻟﺘﺴﺎﻭﻱ ﺑﻴﻦ ﺍﻟﺠﻤﻴﻊ؟"""
Ushiromiya Battler,"""Ihihi. That'd be awesome. It'd be great if I got a share too. 'Cause if I got some as well, I'd split it with Shannon‐chan right away.""","""Ihihi. That'd be awesome. It'd be nice if I got a share too. If I got some too, I'd split it with Shannon-chan right away."" ","""Ihihi.  That'd be awesome.  It'd be nice if I got a share too.  Since if I got some too, I'd split it with Shannon-chan right away.""",「いっひっひ。そりゃあ豪快な話だぜ。俺にも分け前がもらえりゃいいのによ。もし俺にももらえたら、そん時ゃ紗音ちゃんにも分けてやるからなー。」,「いっひっひ。そりゃあ豪快な話だぜ。俺にも分け前がもらえりゃいいのによ。もし俺にももらえたら、そん時ゃ紗音ちゃんにも分けてやるからなー」,"""Ихи‐хи. Вот это было бы классно. А если бы ещё и мне моя доля перепала — тогда вообще зашибись. Поскольку перепади и мне чуток, я бы сразу же поделился с Шаннон‐чан.""","""Ihihi. Isso seria incrível. Eu ficaria muito feliz se dividissem comigo também. Porque, se eu conseguisse um pouco, eu iria dividir com a Shannon‐chan agora mesmo.""",「咿嘿嘿。这倒豪快啊。我要是也有得分就好了。如果我有拿到，到时就给纱音也分点儿——。」,「咿嘿嘿。這倒豪快啊。我要是也有得分就好了。如果我有拿到，到時就給紗音也分點兒——。」,"""Ihihi. Sarebbe magnifico. Sarebbe bello se ne avessi una parte anche io. {n}Se ne ottenessi un po' anche io, lo dividerei subito con Shannon-chan.""",[=UP],"""Ijiji. Sería genial. Me gustaría recibir una parte. Y si la recibiera, la repartiría con Shannon-chan de inmediato.""","""ﺇﻳﻬﻴﻬﻲ. ﺳﻴﻜﻮﻥ ﺫﻟﻚ ﺭﺍﺋﻌﺎً. ﺳﻴﻜﻮﻥ ﻋﻈﻴﻤﺎً ﻟﻮ ﺣﺼﻠﺖ ﻋﻠﻰ ﻧﺼﻴﺐ ﺃﻳﻀﺎً. 'ﻷﻧﻨﻲ ﻟﻮ ﺣﺼﻠﺖ ﻋﻠﻰ ﻧﺼﻴﺐ ﺃﻳﻀﺎً، ﻟﺘﻘﺎﺳﻤﺘﻪ ﻣﻊ ﺷﺎﻧﻮﻥ-ﺗﺸﺎﻥ ﻋﻠﻰ ﺍﻟﻔﻮﺭ."""
Shannon,"""Th‐thank you very much... That's alright, but I appreciate the offer.""","""Th-Thank you very much... Well, I appreciate the sentiment."" ","""Th, thank you very much....  Well, I appreciate the sentiment.""",「ど、どうもありがとうございます…。お気持ちだけで嬉しいです。」,「ど、どうもありがとうございます…。お気持ちだけで嬉しいです」,"""Б‐большое вам спасибо. Благодарю вас за добрые слова.""","""M‐Muito obrigada... Não precisa, mas agradeço sua oferta.""",「非、非常感谢…。光有这份心意，我就很高兴了。」,「非、非常感謝…。光有這份心意，我就很高興了。」,"""G-Grazie molte... Beh, apprezzo il pensiero.""",[=UP],"""M-Muchas gracias... Bueno, aprecio el sentimiento.""","""ﺷـ-ﺷﻜﺮﺍً ﺟﺰﻳﻼً ﻟﻚ... ﻻ ﺑﺄﺱ، ﻟﻜﻨﻨﻲ ﺃﻗﺪﺭ ﺍﻟﻌﺮﺽ."""
Ushiromiya George,"""You aren't materialistic at all, are you, Shannon? Normally, girls of your age have plenty of things they want to buy.""","""Shannon isn't greedy at all. Normally, girls of your age would have tons of things they'd want to buy."" ","""Shannon isn't greedy at all.  Normally, girls of your age would have tons of things they want to buy.""",「紗音は欲がないね。年頃の女の子なら、買いたいものがいっぱいあるだろうに。」,「紗音は欲がないね。年頃の女の子なら、買いたいものがいっぱいあるだろうに」,"""Шаннон совершенно не жадная. А ведь на свете есть уйма вещей, которые хотят купить твои ровесницы.""","""Você não é nada materialista, é, Shannon? Normalmente garotas da sua idade sempre querem comprar um monte de coisas.""",「纱音没有欲望呢。这年纪的女孩子，可是会有很多想买的东西的吧。」,「紗音沒有慾望呢。這年紀的女孩子，可是會有很多想買的東西的吧。」,"""Shannon non è per niente avida. Normalmente, le ragazze della tua età hanno tonnellate di roba che vogliono comprare.""",[=UP],"""Shannon no es nada codiciosa. Lo normal sería que las chicas de tu edad tuvieran un montón de cosas que quisieran comprar.""","""ﺃﻟﺴﺖِ ﻣﺎﺩﻳﺔ ﻋﻠﻰ ﺍﻹﻃﻼﻕ، ﻳﺎ ﺷﺎﻧﻮﻥ؟ ﻋﺎﺩﺓ، ﺍﻟﻔﺘﻴﺎﺕ ﻓﻲ ﻣﺜﻞ ﺳﻨﻚِ ﻟﺪﻳﻬﻦ ﺍﻟﻜﺜﻴﺮ ﻣﻦ ﺍﻷﺷﻴﺎﺀ ﺍﻟﺘﻲ ﻳﺮﺩﻥ ﺷﺮﺍﺀﻫﺎ."""
Shannon,"""Yes. But none of the things I want can be bought with money.""","""I guess. But none of the things I want can be bought with money."" ","""I guess.  But none of the things I want can be bought with money.""",「そうですね。でも私、欲しいものの中に、お金で買えるものがありませんので。」,「そうですね。でも私、欲しいものの中に、お金で買えるものがありませんので」,"""Всё может быть. Но ни одну из желаемых мною вещей нельзя купить за деньги.""","""Sim. Mas nenhuma das coisas que eu quero podem ser compradas com dinheiro.""",「是呢。但是我所想要的东西之中，没有能用钱买到的。」,「是呢。但是我所想要的東西之中，沒有能用錢買到的。」,"""Chissà. Ma nessuna delle cose che desidero possono essere comprate col denaro.""",[=UP],"""Sí. Pero nada de lo que quiero se puede comprar con dinero.""","""ﺃﺟﻞ. ﻟﻜﻦ ﻻ ﺷﻲﺀ ﻣﻤﺎ ﺃﺭﻳﺪﻩ ﻳﻤﻜﻦ ﺷﺮﺍﺅﻩ ﺑﺎﻟﻤﺎﻝ."""
Ushiromiya Battler,"""Ooh! So ungreedy! If you lined up all the things I wanted, all the gold in the world wouldn't be enough.""","""Ooh! How unselfish! If you lined up all the things I wanted, all the gold in the world wouldn't be enough."" ","""Ooh!  How unselfish!  If you lined up all the things I wanted, all the gold in the world wouldn't be enough.""",「ひゅう！　無欲だな！俺なんか、欲しいモン全部並べたら、金がいくらあっても足りねえぜ。」,「ひゅう！　無欲だな！　俺なんか、欲しいモン全部並べたら、金がいくらあっても足りねえぜ」,"""О‐о! Какая широта души! Если выстроить в ряд все вещи, которые хочу, всего золота в мире оказалось бы недостаточно.""","""Ooh! Que altruísta! Se você colocar lado a lado tudo aquilo que eu quero, nem todo o ouro do mundo seria o suficiente para comprar.""",「咻——！无欲啊！像我，要是把想要的东西全列出来，有多少钱都不够花。」,「咻——！無欲啊！像我，要是把想要的東西全列出來，有多少錢都不夠花。」,"""Ooh! Come sei altruista! Se facessi un elenco delle cose che voglio io, tutto l'oro del mondo non sarebbe sufficiente.""",[=UP],"""¡Ooh! ¡Qué desinteresada! Creo que, para todo lo que yo quiero, ni todo el oro del mundo sería suficiente.""","""ﺃﻭﻩ! ﻣﺎ ﺃﺷﺪﻩ ﻣﻦ ﺯﻫﺪ! ﻟﻮ ﺻﻔﻔﺖ ﻛﻞ ﺍﻷﺷﻴﺎﺀ ﺍﻟﺘﻲ ﺃﺭﻳﺪﻫﺎ، ﻟﻤﺎ ﻛﻔﻰ ﻛﻞ ﺫﻫﺐ ﺍﻟﻌﺎﻟﻢ."""
Ushiromiya Jessica,"""Nothing you can {i:buy}, she said. I wonder what these ""things that can't be bought"" that Shannon wants a~re. Any idea, George nii‐san?""","""That's if you're talking about things that can be bought with money. I wonder what these ""things that can't be bought with money"" that Shannon wants are. Do you have any idea, George nii-san?"" ","""That's if you're talking about things that can be bought with money.  I wonder what these 'things that can't be bought with money' that Shannon wants a~re.  Do you have any idea, George nii-san?""",「お金で買えるものには、だぜ。紗音の言う、金で買えない欲しいモノって何かなぁ〜。譲治兄さんは心当たりあるぅ？」,[=JP],"""Это если ты говоришь о вещах, которые можно купить за {i:деньги}. Интере‐есно, что же это за такие желаемые Шаннон вещи, что не купишь за деньги. Джордж нии‐сан, есть предположения?""","""Nada que você possa {i:comprar}, é? Eu me pergunto o que seriam essas ""coisas que não podem ser compradas"" que a Shannon tanto que~r. Tem alguma ideia, George nii‐san?""",「没想法的是能用钱买到的东西，嘞。纱音所说的“钱买不到的想要之物”，会是什么呢～？让治哥有没有头绪呀？」,「沒想法的是能用錢買到的東西，嘞。紗音所說的“錢買不到的想要之物”，會是什麼呢～？讓治哥有沒有頭緒呀？」,"""Solo se parli di cose che possono essere comprate col denaro. Mi chiedo quali siano queste ‘cose che non si possono comprare col denaro’ che Shannon vuole~. Hai qualche idea, George Nii-san?""",[=UP],"""Eso hablando de cosas que pueden {i:comprarse} con dinero. Me pregunto qué son estas ""cosas que no pueden comprarse con dinero"" que quiere Shannon-chaaan. ¿Alguna idea, George nii-san?""","""ﻗﺎﻟﺖ ﻻ ﺷﻲﺀ ﻳﻤﻜﻦ {i:ﺷﺮﺍﺅﻩ}. ﺃﺗﺴﺎﺀﻝ ﻣﺎ ﻫﻲ ﻫﺬﻩ ""ﺍﻷﺷﻴﺎﺀ ﺍﻟﺘﻲ ﻻ ﻳﻤﻜﻦ ﺷﺮﺍﺅﻫﺎ"" ﺍﻟﺘﻲ ﺗﺮﻳﺪﻫﺎ ﺷﺎﻧﻮﻥ ﻳﺎ ﺗــــــﺮﻯ. ﺃﻱ ﻓﻜﺮﺓ ﻟﺪﻳﻚ، ﻳﺎ ﺃﺧﻲ ﺟﻮﺭﺝ؟"""
Ushiromiya George,"""W‐well, I wonder. I guess only Shannon would know.""","""W-Well, I wonder. I'm not Shannon, so how could I know?"" ","""W, well, I wonder.  I'm not Shannon, so how could I know?""",「さ、さぁ、何だろうねぇ？　紗音じゃないとわからないねぇ。」,「さ、さぁ、何だろうねぇ？　紗音じゃないとわからないねぇ」,"""Н‐ну, кто знает. Я же не Шаннон, мне‐то откуда знать?""","""B‐Bem, o que será...? Acho que apenas a Shannon para saber.""",「这、这个，会是啥呢？不是纱音本人就不知道的。」,「這、這個，會是啥呢？不是紗音本人就不知道的。」,"""B-Beh, chissà. Non sono Shannon, come potrei saperlo?""",[=UP],"""B-Bueno, no lo sé. Si no soy Shannon, ¿cómo podría saberlo?""","""ﺣـ-ﺣﺴﻨﺎً، ﺃﺗﻤﻨﻰ ﻟﻮ ﺃﻋﺮﻑ. ﺃﻇﻦ ﺃﻥ ﺷﺎﻧﻮﻥ ﻭﺣﺪﻫﺎ ﻣﻦ ﺗﻌﺮﻑ."""
Shannon,"""I, ...I don't know either.""","""I-I don't know either."" ","""I, ...I don't know either.""",「わ、…私にもわかりませんっ。」,「わ、…私にもわかりませんっ」,"""Я... я тоже не знаю.""","""Eu, ...eu também não sei.""",「我、…我也不知道。」,[=CN],"""N... Neanche io lo so.""",[=UP],"""Y-Yo tampoco lo sé.""","""ﺃ، ...ﺃﻧﺎ ﻻ ﺃﻋﺮﻑ ﺃﻳﻀﺎً."""
,George and Shannon looked down with their faces red.,"George and Shannon looked down, their faces red. ","George and Shannon looked down with their faces red.",譲治と紗音は顔を赤くして俯く。,[=JP],"Джордж с Шаннон, покраснев, опустили головы.","George e Shannon olharam para baixo, com seus rostos corados.",让治与纱音红起了脸，低下了头。,讓治與紗音紅起了臉，低下了頭。,George e Shannon guardarono in basso con le loro facce rosse.,[=UP],"George y Shannon bajaron la mirada, sonrojados.",ﻃﺄﻃﺄ ﺟﻮﺭﺝ ﻭﺷﺎﻧﻮﻥ ﺭﺃﺳﻴﻬﻤﺎ ﻭﻗﺪ ﺍﺣﻤﺮ ﻭﺟﻬﻴﻬﻤﺎ.
,"Battler had also heard the details, so he knew what Jessica was teasing them about.","Battler had also heard about what was going on with them, so he knew what Jessica was teasing them about. ","Battler had also heard the details, so he knew what Jessica was teasing them about.",戦人も事情は聞いていたので、朱志香が何を言ってからかっているのか理解できた。,[=JP],"Баттлер тоже был в курсе, поэтому знал, над чем подтрунивает Джессика.","Battler já tinha ouvido os detalhes, por isso sabia sobre o que Jessica estava provocando eles.",由于战人也听说了内情，所以马上理解了，朱志香是在怎么逗他们玩。,由於戰人也聽說了內情，所以馬上理解了，朱志香是在怎麼逗他們玩。,"Anche Battler conosceva i dettagli, quindi sapeva su cosa Jessica li stava prendendo in giro.",[=UP],"Battler había oído los detalles, así que sabía de qué se estaba burlando Jessica.",ﻛﺎﻥ ﺑﺎﺗﻠﺮ ﻗﺪ ﺳﻤﻊ ﺍﻟﺘﻔﺎﺻﻴﻞ ﺃﻳﻀﺎً، ﻟﺬﺍ ﻋﺮﻑ ﻣﺎ ﺍﻟﺬﻱ ﻛﺎﻧﺖ ﺟﻴﺴﻴﻜﺎ ﺗﻤﺎﺯﺣﻬﻤﺎ ﺑﺸﺄﻧﻪ.
Ushiromiya Battler,"""George‐aniki is someone even I can respect. I think you've met a really great person, Shannon‐chan.""","""George-aniki is a person I respect. I think you've met up with a really great person, Shannon-chan."" ","""George-aniki is a person I respect as well.  I think you've met up with a really great person, Shannon-chan.""",「譲治の兄貴は、俺にとっても尊敬できるお人だ。紗音ちゃんは、本当にいい人と巡り会えたと思うぜ。」,「譲治の兄貴は、俺にとっても尊敬できるお人だ。紗音ちゃんは、本当にいい人と巡り会えたと思うぜ」,"""Джордж‐аники — человек, которого я тоже очень уважаю. Я думаю, ты повстречала действительно замечательного человека, Шаннон‐чан.""","""O George‐aniki é alguém que até mesmo eu respeito. Acredito que você encontrou uma pessoa muito boa, Shannon‐chan.""",「让治大哥，对我来说也是个值得尊敬的人。纱音真是遇上了个好男人啊。」,「讓治大哥，對我來說也是個值得尊敬的人。紗音真是遇上了個好男人啊。」,"""Anche George-aniki è una persona che rispetto. Credo che tu abbia incontrato una persona davvero magnifica, Shannon-chan.""",[=UP],"""George-aniki es una persona que respeto mucho. Creo que has conocido a una persona genial, Shannon-chan.""","""ﺃﺧﻲ ﺟﻮﺭﺝ ﺷﺨﺺ ﺃﺣﺘﺮﻣﻪ ﺣﺘﻰ ﺃﻧﺎ. ﺃﻋﺘﻘﺪ ﺃﻧﻚِ ﺍﻟﺘﻘﻴﺖِ ﺑﺸﺨﺺ ﺭﺍﺋﻊ ﺣﻘﺎً ﻳﺎ ﺷﺎﻧﻮﻥ-ﺗﺸﺎﻥ."""
Ushiromiya Jessica,"""Yeah. I can rest easy knowing Shannon is in good hands.""","""Yeah. I also feel relieved that we can leave Shannon to George nii-san."" ","""Yeah.  I also feel relieved that we can leave Shannon to George nii-san.""",「だな。私も、譲治兄さんなら安心して紗音を任せられるぜ。」,「だな。私も、譲治兄さんなら安心して紗音を任せられるぜ」,"""Ага. У меня тоже на душе спокойно, что мы можем оставить Шаннон на Джорджа нии‐сана.""","""Pois é. Eu posso descansar sabendo que a Shannon está em boas mãos.""",「是啊。我也是，一想到是让治哥，那就能安心地把纱音托付出去嘞。」,「是啊。我也是，一想到是讓治哥，那就能安心地把紗音託付出去嘞。」,"""Già. Anche io mi sento sollevata dal fatto che possiamo lasciare Shannon a George Nii-san.""",[=UP],"""Sí. También yo me siento aliviada de que podamos dejar a Shannon en manos de George nii-san.""","""ﺃﺟﻞ. ﻳﻤﻜﻨﻨﻲ ﺃﻥ ﺃﺭﺗﺎﺡ ﻭﺃﻧﺎ ﺃﻋﻠﻢ ﺃﻥ ﺷﺎﻧﻮﻥ ﻓﻲ ﺃﻳﺪٍ ﺃﻣﻴﻨﺔ."""
Ushiromiya George,"""St‐stop teasing. It's a serious issue for us. More importantly, what about you, Jessica‐chan? Have you been able to get a little closer to Kanon‐kun?""","""St-Stop teasing. It's a serious issue for us. More importantly, what about you, Jessica-chan? Have you been able to get a little closer to Kanon-kun?"" ","""St, stop teasing.  It's a serious issue for us.  More importantly, what about you, Jessica-chan?  Have you been able to get a little closer to Kanon-kun?""",「か、からかうのは止してくれよ。僕たちにとっては真面目な問題なんだ。それより、朱志香ちゃんの方だってどうなんだい？　嘉音くんと、少しは仲良くなれたのかい？」,[=JP],"""Х‐хватит дразниться. Для нас это серьёзное дело. И вообще, что насчёт тебя, Джессика‐чан? Тебе удалось хоть немного сблизиться с Каноном‐куном?""","""P‐Parem de provocar. É um assunto sério para nós. Mais importante, e quanto a você, Jessica‐chan? Já se aproximou um pouco mais do Kanon‐kun?""",「别、别耍我们啦。对我们来说可是个严肃的问题哦。比起这个，朱志香又如何呀？有没有与嘉音君，稍有进展呀？」,「別、別耍我們啦。對我們來說可是個嚴肅的問題哦。比起這個，朱志香又如何呀？有沒有與嘉音君，稍有進展呀？」,"""S-Smettetela di prendere in giro. È una cosa seria per noi. Cosa più importante, che mi dici di te, Jessica-chan? Sei riuscita ad essere un po' più vicina con Kanon-kun?""",[=UP],"""P-Paren de burlarse. Es algo muy serio para nosotros. Más importante, ¿y tú, Jessica-chan? ¿Has podido acercarte un poco a Kanon-kun?""","""ﺗـ-ﺗﻮﻗﻔﺎ ﻋﻦ ﺍﻟﻤﺰﺍﺡ. ﺇﻧﻬﺎ ﻣﺴﺄﻟﺔ ﺟﺪﻳﺔ ﺑﺎﻟﻨﺴﺒﺔ ﻟﻨﺎ. ﻭﺍﻷﻫﻢ ﻣﻦ ﺫﻟﻚ، ﻣﺎﺫﺍ ﻋﻨﻚِ ﻳﺎ ﺟﻴﺴﻴﻜﺎ-ﺗﺸﺎﻥ؟ ﻫﻞ ﺗﻤﻜﻨﺖِ ﻣﻦ ﺍﻟﺘﻘﺮﺏ ﻗﻠﻴﻼً ﻣﻦ ﻛﺎﻧﻮﻥ-ﻛﻦ؟"""
Ushiromiya Battler,"""Whaaaaaaaaat?! So, you and Kanon‐kun are like that?!""","""Whaaaaaaaaat?! So, you and Kanon-kun are like that?!"" ","""Whaaaaaaaaat?!  So, you and Kanon are like that?!""",「えええぇええぇ！　お前、嘉音くんとそういう仲なのかよー？！」,[=JP],"""Что‐о‐о‐о?! Значит, у вас с Каноном даже так?!""","""Quêêêêê?! Então você e o Kanon‐kun têm esse tipo de relação?!""",「哎哎哎哎哎哎哎！你…和嘉音君是那种关系啊——？！」,「哎哎哎哎哎哎哎！你…和嘉音君是那種關係啊——？！」,"""Cosaaaaaaaa?! Quindi, tu e Kanon siete così?!""",[=UP],"""¡¿Quéééééééé?! Entonces, ¡¿tú y Kanon son...?!""","""ﻣﺎﺍﺍﺍﺍﺍﺍﺍﺍﺍﺫﺍ؟! ﺇﺫﻥ، ﺃﻧﺖِ ﻭﻛﺎﻧﻮﻥ-ﻛﻦ ﻋﻠﻰ ﺗﻠﻚ ﺍﻟﺤﺎﻝ؟!"""
Ushiromiya Jessica,"""Ah, um, mgh!! Th‐that's dirty, George nii‐san, twisting the conversation around like that is just mean!""","""Ah, um, well!! Th-That's dirty, George, twisting the conversation around like that's dirty!"" ","""Ah, um, well!! Th-, that's dirty, George onii-san, twisting the conversation around like that is dirty!""",「え、たっ、とっと！！　き、汚いぜ、譲治兄さん、そういう話の切り返し方は汚いぜー！」,[=JP],"""Ах, м‐м‐м, ну! П‐подлый ход, Джордж нии‐сан, так поворачивать разговор просто нечестно!""","""Ah, hm, mgh!! I‐Isso é jogo sujo, George nii‐san, mudar o rumo da conversa assim é muito cruel!""",「哎，等、等等！！好、好肮脏，让治哥，你这种转换话题的手法好肮脏——！」,「哎，等、等等！！好、好骯髒，讓治哥，你這種轉換話題的手法好骯髒——！」,"""Ah, um, beh!! Q-Questo è scorretto, George Onii-san, capovolgere così la conversazione è scorretto!""",[=UP],"""¡¡Ah, um, bueno!! ¡E-Eso es jugar sucio, George nii-san, dar vuelta la conversación de esa forma es jugar sucio!""","""ﺁﻩ، ﺃﻣﻢ، ﻣﻤﻤﻎ!! ﻫـ-ﻫﺬﺍ ﻏﺶ ﻳﺎ ﺃﺧﻲ ﺟﻮﺭﺝ، ﺗﺤﺮﻳﻒ ﺩﻓﺔ ﺍﻟﺤﺪﻳﺚ ﻫﻜﺬﺍ ﻫﻮ ﻣﺤﺾ ﻟﺆﻡ!"""
,"As they had an animated discussion with ups and downs, the four kids headed for the guesthouse.......","As they had an animated discussion with ups and downs, the four kids headed for the guesthouse... ","As they had an animated discussion with ups and downs, the four kids headed for the guesthouse.......",そんな甘酸っぱい話に花を咲かせながら、戦人たち子ども４人は、ゲストハウスに向かっていくのだった……。,[=JP],"Продолжая оживлённую, то стихающую, то вновь становившуюся громкой беседу, четвёрка направлялась в домик для гостей...","Enquanto se divertiam com os altos e baixos de suas conversas, as quatro crianças seguiram em direção à casa de hóspedes.......",开心地聊着这类酸酸甜甜的话题，战人等四位小孩闹哄哄地往宾馆走去……。,開心地聊著這類酸酸甜甜的話題，戰人等四位小孩鬧哄哄地往賓館走去……。,"Mentre animavano la discussione fra alti e bassi, i quattro ragazzi si diressero verso la casa degli ospiti...",[=UP],"En medio de su animada discusión con idas y venidas, los cuatro niños se dirigieron a la casa de huéspedes...",ﺑﻴﻨﻤﺎ ﻛﺎﻧﻮﺍ ﻳﺨﻮﺿﻮﻥ ﻧﻘﺎﺷﺎً ﺣﻴﻮﻳﺎً ﻣﻠﻴﺌﺎً ﺑﺎﻟﺘﻘﻠﺒﺎﺕ، ﺗﻮﺟﻪ ﺍﻷﻭﻻﺩ ﺍﻷﺭﺑﻌﺔ ﺇﻟﻰ ﺑﻴﺖ ﺍﻟﻀﻴﺎﻓﺔ.......
