Speaker,Steam (ST),Umineko Project (UP),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Traditional (CHT),Chinese Simplified (CN),Italian (Ars Magica) (Old) (ITA),Italian (Majotachi no Sub) (New) (IT)
,"With a half-crying, half-enraged jumbled-up expression, Hideyoshi yelled at Gohda. ","With a half‐crying, half‐enraged jumbled up expression, Hideyoshi yelled at Gohda.","With a half-crying, half-enraged jumbled up expression, Hideyoshi yelled at Gohda.",泣き出しそうな、そして怒り出しそうな、あらゆる感情のごちゃ混ぜになった顔で、秀吉は郷田に食って掛かる。,[=JP],"С наполовину разъярённым, наполовину плачущим выражением Хидэёши накричал на Году.","Com uma expressão desordenada, quase que aos prantos, quase que estourando de raiva, Hideyoshi gritou com Gohda.",以一張瀕臨哭出來的，瀕臨勃然大怒的，混合了各種各樣的感情的臉，秀吉炮轟鄉田。,以一张濒临哭出来的，濒临勃然大怒的，混合了各种各样的感情的脸，秀吉炮轰乡田。,"Con un'espressione confusa, per metà triste, per metà infuriata, Hideyoshi gridò contro Gohda.",[=UP]
,"Of course, the culprit who killed everyone was the most to blame and the most despicable. ","Of course, the culprit who killed everyone was the most to blame and the most despicable."," Of course, the culprit who killed everyone was the most to blame and the most despicable.",殺した犯人が一番悪くて憎いに決まってる。,[=JP],"Конечно же, это преступник, убивший всех, был самым виноватым и презренным.","É claro, o assassino que matou todos é o mais culpado e também mais desprezível.",毫無疑問，殺人凶手最壞最可恨。,毫无疑问，杀人凶手最坏最可恨。,"Ovviamente, il colpevole che aveva ucciso tutti era colui che avrebbero dovuto incolpare maggiormente e il più spregevole.",[=UP]
,"...However, even if he understood that, he needed to let off some of his emotions by hating someone he could see. ","......However, even if he understood that, he needed to let off some of his emotions by hating someone he could see.",[=UP],……それはわかっていても、今、目に見える誰かを恨まなければ、感情のやり場がないのだろう。,[=JP],"......Но даже осознавая это, ему понадобилось выплеснуть ненависть на того, кого он видел.","......Porém, mesmo que ele entendesse isso, ele precisava extravasar suas emoções, odiando alguém que estivesse ao seu alcance.",……不過即便明白這一點，也是不去恨此刻眼前能看到的誰，感情就無處宣泄吧？,……不过即便明白这一点，也是不去恨此刻眼前能看到的谁，感情就无处宣泄吧？,"... Tuttavia, nonostante lo capisse, aveva bisogno di liberare un po' delle sue emozioni odiando qualcuno che poteva vedere.",[=UP]
Furudo Erika,"""...I am fully aware of how everyone feels. ...However, please calm down. ","""............I understand how distressing this must be for all of you. ......However, please calm down.""","""......I am fully aware of how everyone feels. ......However, please calm down.",「…………皆さんの胸中、心よりお察しします。……ですがどうか、落ち着いて下さい。,「…………皆さんの胸中、心よりお察しします。……ですがどうか、落ち着いて下さい」,"""......Я прекрасно понимаю ваши чувства. ......Но успокойтесь.""","""............Eu entendo o quão angustiante isso pode ser para todos vocês. ......Porém, peço que se acalmem.""",「…………我發自內心地理解，諸位心中的感受。……但是，請千萬鎮靜下來。」,「…………我发自内心地理解，诸位心中的感受。……但是，请千万镇静下来。」,"""... Sono pienamente cosciente di come si sentano tutti. ... Però, vi prego di calmarvi.",[=UP]
Furudo Erika,"...Either Gohda-san wasn't thorough when locking up, ...or someone let Battler-san and Maria-san in after they came back from the guesthouse, and then forgot to lock up afterwards. ...However, that doesn't necessarily have anything to do with how the culprit snuck in."" ","""......I don't know whether Gohda‐san wasn't thorough enough when locking up, ......or whether someone let Battler‐san and Maria‐san in after they came back from the guesthouse, and then forgot to lock up afterwards. ......But whatever the case, it doesn't necessarily have anything to do with how the mysterious culprit snuck in."""," ......Either Gohda-san wasn't thorough when locking up, ......or someone let Battler-san and Maria-san in after they came back from the guesthouse, and then forgot to lock up afterwards. ......However, that doesn't necessarily have anything to do with how the culprit snuck in.""",……郷田さんの戸締りが不完全だったか。……あるいは、ゲストハウスから戻ってきた、戦人さんと真里亞さんを誰かが迎え入れて、その後、施錠し忘れたのかはわかりません。……ただ、それが謎の犯人の侵入と関係があったとは限りません。」,「……郷田さんの戸締りが不完全だったか。……あるいは、ゲストハウスから戻ってきた、戦人さんと真里亞さんを誰かが迎え入れて、その後、施錠し忘れたのかはわかりません。……ただ、それが謎の犯人の侵入と関係があったとは限りません」,"""......Либо Года не всё запер...... либо кто‐то впустил Баттлера и Марию, когда они вернулись из домика для гостей, а потом забыл запереть. ......Однако это не обязательно связано с проникновением преступника.""","""......Eu não sei se o Gohda‐san não foi cuidadoso o bastante quando trancou tudo, ......ou se alguém deixou o Battler‐san e a Maria‐san entrarem depois que eles voltaram da casa de hóspedes, e esqueceu de fechar depois. ......Mas, seja qual for o caso, isso necessariamente não tem relação com a forma como o misterioso culpado entrou.""",「……雖不知道，是不是鄉田先生沒全鎖好，……又或許是，誰迎入了從賓館回來的戰人與真里亞後，忘了鎖門。……不過，這些並不一定與神秘凶手的侵入有關。」,「……虽不知道，是不是乡田先生没全锁好，……又或许是，谁迎入了从宾馆回来的战人与真里亚后，忘了锁门。……不过，这些并不一定与神秘凶手的侵入有关。」,"... O Gohda-san non è stato accurato nell'aver chiuso a chiave... o qualcuno ha lasciato entrare Battler-san e Maria-san, che erano tornati qui dalla casa degli ospiti, e in seguito si è dimenticato di chiudere. ... Malgrado ciò, non deve per forza avere qualcosa a che fare con il modo in cui il colpevole è entrato.""",[=UP]
Furudo Erika,"""...After all, the mansion is massive. They might have come in much earlier and hid until late at night for all we know. ...I can understand that you might want to suspect certain people, but please calm down."" ","""......After all, the mansion is massive. They might have come in much earlier and hid until late at night for all we know. ......I can understand the desire to suspect someone, but please calm down.""","""......After all, the mansion is massive. They might have come in much earlier and hid until late at night for all we know. ......I can understand that you might want to suspect certain people, but please calm down.""",「……何しろ、あれだけの大きなお屋敷です。もっと早い段階から屋敷に入り、ずっと深夜までどこかの部屋で息を殺していたのかもしれません。……誰かを疑いたい気持ちはわかりますが、どうか落ち着いて下さい。」,「……何しろ、あれだけの大きなお屋敷です。もっと早い段階から屋敷に入り、ずっと深夜までどこかの部屋で息を殺していたのかもしれません。……誰かを疑いたい気持ちはわかりますが、どうか落ち着いて下さい」,"""......В конце концов, особняк огромен. Можно было войти гораздо раньше и прятаться до поздней ночи, насколько нам известно. ......Я понимаю ваше желание подозревать определённых людей, но, прошу, успокойтесь.""","""......Afinal, aquela mansão é imensa. Ele pode ter vindo muito mais cedo e se escondido até tarde da noite sem que ficássemos sabendo. ......Eu consigo entender o desejo de suspeitar de alguém, mas peço que se acalmem.""",「……畢竟，是這麼大的一間大屋。有可能，是在更早的時候進了大屋，在某處一直壓低呼吸藏到了深夜。……雖然我理解各位想去懷疑誰的心情，但請千萬鎮靜下來。」,「……毕竟，是这么大的一间大屋。有可能，是在更早的时候进了大屋，在某处一直压低呼吸藏到了深夜。……虽然我理解各位想去怀疑谁的心情，但请千万镇静下来。」,"""... Dopotutto, la villa è gigantesca. Sarebbero potuti entrare molto prima e nascondersi fino a notte fonda per quanto ne sappiamo. ... Posso capire che vogliate sospettare certe persone, ma calmatevi per favore.""",[=UP]
Ushiromiya Krauss,"""...Our guest is right. ...The culprit is the one we should hate, ...not the servant who just happened to be on duty... ...At any rate, let's calm down. ...I feel as terrible as the rest of you. However, we must take the initiative now and regain our composure."" ","""......Our guest is right. ......The culprit is the one we should hate, ......not Gohda, who just happened to be on duty... ......At any rate, let's calm down. ......I feel as terrible as the rest of you. However, we must take the initiative now and regain our composure.""","""......Our guest is right. ......The culprit is the one we should hate, ......not the servant who just happened to be on duty... ......At any rate, let's calm down. ......I feel as terrible as the rest of you. However, we must take the initiative now and regain our composure.""",「……客人の言うとおりだ。……憎むべきは犯人であって、……たまたま当番だった郷田ではない…。……とにかく、落ち着こう。……私とて悔しい。だが、今は我々が率先して冷静さを取り戻さなくては、どうしようもない。」,「……客人の言うとおりだ。……憎むべきは犯人であって、……たまたま当番だった郷田ではない…。……とにかく、落ち着こう。……私とて悔しい。だが、今は我々が率先して冷静さを取り戻さなくては、どうしようもない」,"""......Наша гостья права. ......Надо ненавидеть преступника, а не слугу, который просто оказался на дежурстве......... Давайте успокоимся. ......Мне так же тяжело, как всем остальным. Но сейчас мы должны взять инициативу в свои руки и собраться с духом.""","""......Nossa convidada está certa. ......Nós devemos odiar o culpado, ......e não o Gohda, que apenas estava fazendo seu trabalho... ......De qualquer forma, vamos nos acalmar. ......Eu me sinto tão péssimo quanto o resto de vocês. Mas nós devemos tomar a iniciativa e recuperarmos nossas composturas.""",「……客人說得對。……當恨的是犯人，……不是碰巧在值班的鄉田…。……總之，冷靜一下吧。……我也很後悔。但是，現在我們不帶頭取回冷靜，就不會有任何進展。」,「……客人说得对。……当恨的是犯人，……不是碰巧在值班的乡田…。……总之，冷静一下吧。……我也很后悔。但是，现在我们不带头取回冷静，就不会有任何进展。」,"""... La nostra ospite ha ragione. ... Il colpevole è colui che dovremmo odiare... non il domestico che per caso era di turno... ad ogni modo, calmiamoci. {n}Mi sento male tanto quanto voi. Tuttavia, ora dobbiamo prendere l'iniziativa e riacquistare la calma.""",[=UP]
Ushiromiya Rudolf,"""Aniki..."" ","""Aniki......""",[=UP],「兄貴……。」,「兄貴……」,"""Брат......""",[=UP],「大哥……」,[=CHT],"""Aniki...""",[=UP]
Ushiromiya Krauss,"""Everyone feels just as sad and devastated. And none of us will ever forgive the one who did this. For that reason, we must regain our composure..."" ","""We all feel sad and devastated. And none of us will ever forgive the one who did this. That is why we all need to regain our composure...""","""Everyone feels just as sad and devastated. And none of us will ever forgive the one who did this. For that reason, we must regain our composure...""",「皆、辛くて悔しい気持ちは同じだ。そして、犯人を絶対に許したくない。だからこそ、我々は冷静を取り戻さなければならないのだ…。」,「皆、辛くて悔しい気持ちは同じだ。そして、犯人を絶対に許したくない。だからこそ、我々は冷静を取り戻さなければならないのだ…」,"""Все чувствуют себя одинаково грустно и опустошённо. И никто из нас никогда не простит того, кто это сделал. По этой причине мы должны собраться с духом...""","""Todos estamos tristes e devastados. E nenhum de nós vai perdoar a pessoa que fez isso. É por isso que precisamos recuperar nossa compostura...""",「沉痛悔恨的感受，大家都一樣。並且，我們絕對饒不了犯人。正因如此，所以我們必須取回冷靜…」,「沉痛悔恨的感受，大家都一样。并且，我们绝对饶不了犯人。正因如此，所以我们必须取回冷静…」,"""Tutti quanti si sentono ugualmente tristi e devastati. E nessuno di noi perdonerà mai chi ha fatto questo. Per questo motivo, dobbiamo riacquistare la nostra compostezza...""",[=UP]
Ushiromiya Hideyoshi,"""...H-He's right. ...I still have George. Krauss nii-san still has Jessica-chan. And Rudolf-kun, you still have Ange-chan waitin' for you to return, right? It's still...too soon...to start pointin' fingers..."" ","""......H‐......he's right. ......I still have George. Krauss nii‐san still has Jessica‐chan. And Rudolf‐kun, ...you still have Ange‐chan waitin' for you to return, right? It's still......too soon...to go riskin' everything to take down the killer......""","""......H, ......he's right. ......I still have George. Krauss nii-san still has Jessica-chan. And Rudolf-kun...you still have Ange-chan waitin' for you to return, right? It's still......too soon...to start pointin' fingers......""",「……そ、……そや。……わしにも譲治がおる。蔵臼兄さんには朱志香ちゃんがおる。そして留弗夫くんも、帰りを待つ縁寿ちゃんがおるはずや。犯人と刺し違えたるッ、思うんは、……まだ、…早いんや……。」,「……そ、……そや。……わしにも譲治がおる。蔵臼兄さんには朱志香ちゃんがおる。そして留弗夫くんも、帰りを待つ縁寿ちゃんがおるはずや。犯人と刺し違えたるッ、思うんは、……まだ、…早いんや……」,"""......О... ......он прав. ......У меня ещё есть Джордж. У Краусса есть Джессика. И, Рудольф, у тебя ещё есть Энджи, которая ждёт твоего возвращения. Пока ещё...... слишком рано... опускать руки......""","""......Sim......ele tem razão. ......Eu ainda tenho o George. O Krauss nii‐san tem a Jessica‐chan. E o Rudolf‐kun, ...ainda tem a Ange‐chan, esperando você voltar para casa, não tem? Ainda é......muito cedo...para arriscar tudo só para encontrar o culpado......""",「……是、……是吶。……俺還有讓治。藏臼兄還有朱志香。而留弗夫君，也是有等著你回去的小緣壽吶。去想，和犯人同歸於盡，……就……太早了吶……」,「……是、……是呐。……俺还有让治。藏臼兄还有朱志香。而留弗夫君，也是有等着你回去的小缘寿呐。去想，和犯人同归于尽，……就……太早了呐……」,"""... H... Ha ragione. ... Ho ancora George. Krauss Nii-san ha ancora Jessica-chan. {n}E Rudolf-kun... tu hai ancora Ange-chan che aspetta il tuo ritorno, giusto? {n}È ancora... troppo presto... per iniziare a puntare il dito contro le persone...""",[=UP]
Furudo Erika,"""...The culprit is still on this island. And we can't be sure that this tragic crime is over. We need to stay calm and prevent any further tragedies."" ","""......The culprit is still on this island. And we can't be sure that this tragic crime is over. We need to stay calm and prevent any further tragedies.""",[=UP],「……まだ犯人はこの島にいます。そして、この無残な事件が、これで幕を下ろしたとは限らないのです。私たちは冷静を取り戻し、これ以上の惨劇を食い止めねばなりません。」,「……まだ犯人はこの島にいます。そして、この無残な事件が、これで幕を下ろしたとは限らないのです。私たちは冷静を取り戻し、これ以上の惨劇を食い止めねばなりません」,"""......Преступник до сих пор на острове. И мы не можем быть уверены, что трагическое преступление окончено. Нам нужно сохранить спокойствие и предотвратить новые трагедии.""","""......O culpado ainda está nesta ilha. E não temos como ter certeza que este trágico crime acabou. Precisamos ficar calmos e prevenir qualquer tragédia futura.""",「……犯人還在這個島上。其次，這淒慘的事件，並不一定已就此閉幕。我們必須取回冷靜，防止更多的慘劇。」,「……犯人还在这个岛上。其次，这凄惨的事件，并不一定已就此闭幕。我们必须取回冷静，防止更多的惨剧。」,"""... Il colpevole è ancora su quest'isola. E non possiamo essere sicuri che questo tragico crimine sia finito. Dobbiamo restare calmi e impedire qualsiasi ulteriore tragedia.""",[=UP]
,Erika's words softly consoled them...and gently admonished them. ,Erika's words softly consoled them...and gently admonished them.,[=UP],ヱリカはやさしく慰めるように、そして、静かに諭すように言う。,[=JP],Слова Эрики мягко утешили их... и увещевали.,As palavras de Erika gentilmente os consolou...e gentilmente os admoestou.,繪梨花既像溫柔安撫，又像靜靜告誡般地說著。,绘梨花既像温柔安抚，又像静静告诫般地说着。,Le parole di Erika li consolarono lievemente... e li ammonirono leggermente.,[=UP]
,"...If a servant had said the same thing, Rudolf would probably have jumped on him. ","......If a servant had said the same thing, Rudolf would probably have jumped on him.",[=UP],……同じことを使用人が言ったら、留弗夫辺りは食って掛かったかもしれない。,[=JP],"......Если бы то же самое сказал слуга, Рудольф набросился бы на него.","......Se um serviçal tivesse dito a mesma coisa, Rudolf provavelmente teria partido para cima dele.",……如果是由傭人講出同樣的話，那就有可能被留弗夫這種脾氣的人炮轟。,……如果是由佣人讲出同样的话，那就有可能被留弗夫这种脾气的人炮轰。,"... Se un domestico avesse detto la stessa cosa, Rudolf probabilmente gli sarebbe saltato addosso.",[=UP]
,"However, since it had come from the lips of the guest, a neutral party, ...it seemed to reach their ears. ","However, since it had come from the lips of the guest, a neutral party, ......it seemed to reach their ears."," However, since it had come from the lips of the guest, a neutral party, ......it seemed to reach their ears.",しかし、客人という中立的な立場のヱリカがそれを口にすることで、……彼らの耳にも届くようだった。,[=JP],"Но слова от гостьи, нейтральной стороны...... достигли их ушей.","Mas como isso havia saído dos lábios de uma convidada, um elemento neutro, ......parece que chegou até os ouvidos deles.",不過，由於此乃由站在客人這個中立立場的繪梨花所言，……所以這些話好像傳進了他們的耳朵。,不过，由于此乃由站在客人这个中立立场的绘梨花所言，……所以这些话好像传进了他们的耳朵。,"Tuttavia, dato che le parole erano uscite dalla bocca dell'ospite, un punto di vista neutrale... sembrarono raggiungere le loro orecchie.",[=UP]
Furudo Erika,"""Let's stay cool. ...We have three grown men with us, and guns as well. Judging by the pattern of the murders, the chances of the culprit having a gun are low. ...In other words, as long as we keep our heads, the culprit no longer has any way to touch us."" ","""Let's stay cool. ......We have three grown men with us, and guns as well. Judging by the pattern of the murders, the chances that the culprit has a gun are low. ......In other words, as long as we keep our heads, the culprit will no longer have any way to touch us.""","""Let's stay cool. ......We have three grown men with us, and guns as well. Judging by the pattern of the murders, the chances that the culprit has a gun are low. ......In other words, as long as we keep our heads, the culprit no longer has any way to touch us.""",「落ち着きましょう。……ここには成人の男性が３人もいて、そして銃を持っています。犯行の手口を見る限り、犯人が銃を持っている可能性は低いでしょう。……つまり、私たちがしっかりしている限り、もはや犯人に手出しする余地はないということです。」,「落ち着きましょう。……ここには成人の男性が３人もいて、そして銃を持っています。犯行の手口を見る限り、犯人が銃を持っている可能性は低いでしょう。……つまり、私たちがしっかりしている限り、もはや犯人に手出しする余地はないということです」,"""Давайте сохранять хладнокровие. ......Здесь трое взрослых мужчин, и есть ружья. Судя по характеру убийств, у преступника вряд ли есть ружьё. ......Пока мы не теряем головы, он до нас не доберётся.""","""Vamos permanecer calmos. ......Temos três homens crescidos aqui, e também temos armas. Julgando pelo padrão dos assassinatos, as chances do culpado ter uma arma é baixa. ......Ou seja, contanto que a gente se mantenha firme, o culpado não vai conseguir colocar um dedo em nós.""",「冷靜一下吧。……這裡是有 3 名成年男性，並還拿著槍。從犯案的手法上來看，犯人有槍的可能性多半很低。……這也就是說，只要我們保持沉著冷靜，犯人將再也不會有下手之機。」,「冷静一下吧。……这里是有 3 名成年男性，并还拿着枪。从犯案的手法上来看，犯人有枪的可能性多半很低。……这也就是说，只要我们保持沉着冷静，犯人将再也不会有下手之机。」,"""Manteniamo la calma. ... Abbiamo tre uomini adulti con noi, e anche dei fucili. Giudicando dallo schema degli omicidi, le probabilità che il colpevole abbia un fucile sono basse. ... In altre parole, finché non perdiamo la testa, il colpevole non ha più alcuna possibilità di toccarci.""",[=UP]
Ushiromiya Krauss,"""...She's right. We can't let the culprit do as they please any longer on our island."" ","""......She's right. We can't let that murderer have his way on our island any longer.""","""......She's right. We can't let the culprit do as they please any longer on our island.""",「……彼女の言うとおりだ。右代宮の島で、これ以上、犯人の好き勝手にさせるわけにはいかん。」,「……彼女の言うとおりだ。右代宮の島で、これ以上、犯人の好き勝手にさせるわけにはいかん」,"""......Она права. Нельзя и дальше позволять преступнику творить на нашем острове что вздумается.""","""......Ela está certa. Não podemos deixar que esse assassino continue com a ilha só pra ele.""",「……她說得對。我們可不能，再放任犯人在右代宮家的島上為所欲為了。」,「……她说得对。我们可不能，再放任犯人在右代宫家的岛上为所欲为了。」,"""... Ha ragione. Non possiamo lasciare che il colpevole faccia ancora quello che gli pare sulla nostra isola.""",[=UP]
Ushiromiya Rudolf,"""Let's find the culprit! We're in the middle of a typhoon. They can't escape from the island, and there's only so many places they can take shelter from the rain in...!"" ","""Let's find the killer! We're in the middle of a typhoon. They can't escape from the island, and there's only so many places where they can take shelter from the rain...!""","""Let's find the culprit! We're in the middle of a typhoon. They can't escape from the island, and there's a limited number of places they can take shelter from the rain in...!""",「探し出そう！　この台風だ。島からは逃げられねぇし、雨宿りできる場所だって限られてるはずだ…！」,[=JP],"""Давайте найдём его! Сейчас самый разгар тайфуна. Ему не выбраться с острова, а число мест, где можно укрыться от дождя, ограничено!..""","""Vamos encontrá‐lo e matá‐lo! Estamos no meio de um tufão. Ele não pode escapar desta ilha, e não tem muitos lugares onde ele possa se abrigar da chuva...!""",「去把犯人找出來！這麼大的台風。不僅沒法逃出島，能避雨的地方也應該有限…！」,「去把犯人找出来！这么大的台风。不仅没法逃出岛，能避雨的地方也应该有限…！」,"""Troviamolo! Siamo nel mezzo di un tifone. Non può scappare dall'isola, e c'è un numero limitato di posti con cui può ripararsi dalla pioggia...!""",[=UP]
Furudo Erika,"""This island is larger than you'd think. Unfortunately, it would be difficult to search the island with this many people. ...After all, if you found the culprit, you might shoot them to death on the spot as you are now. If the frightened culprit has run into that deep forest, you won't find them easily."" ","""This island is larger than you'd think. Unfortunately, it would be difficult to search the island with so few people. ......After all, you all look ready to shoot the culprit dead on the spot if you were to find them now. If the culprit has fled into that dense forest fearing for their life, you won't find them easily.""","""This island is larger than you'd think. Unfortunately, it would be difficult to search the island with this many people. ......After all, if you found the culprit now, you'd kill them. If the frightened culprit has run into that deep forest, you won't find them easily.""",「この島は案外、狭くありません。残念ですが、この程度の人数で島を探すのは難しいでしょう。……何しろ皆さんは、見つけたら、即座に撃ち殺さんばかりの勢いです。怯えた犯人が、あの深い森の中に逃げ込んだとしたら、簡単には見つけられません。」,「この島は案外、狭くありません。残念ですが、この程度の人数で島を探すのは難しいでしょう。……何しろ皆さんは、見つけたら、即座に撃ち殺さんばかりの勢いです。怯えた犯人が、あの深い森の中に逃げ込んだとしたら、簡単には見つけられません」,"""Этот остров крупнее, чем вы думаете. К сожалению, с таким числом людей обыскать его будет сложно. ......В конце концов, найдя виновного сейчас, вы его убьёте. Если испуганный преступник убежал вглубь леса, найти его будет не так просто.""","""Esta ilha é maior do que você pensa. Infelizmente, seria difícil procurar por toda ilha com um número tão pequeno de pessoas. ......Seja como for, todos vocês parecem prontos para atirar no culpado no mesmo instante que o encontrarem. Se o culpado fugir para a densa floresta sem temer pela vida, vocês não vão achá‐lo facilmente.""",「這個島，出人意料地並不小。很遺憾，以這個人數是很難搜島的吧？……畢竟，諸位是一副“一看到，即就地槍斃”的氣勢。驚恐的犯人，要是逃進那深深的森林之中，就無法輕易找到了。」,「这个岛，出人意料地并不小。很遗憾，以这个人数是很难搜岛的吧？……毕竟，诸位是一副“一看到，即就地枪毙”的气势。惊恐的犯人，要是逃进那深深的森林之中，就无法轻易找到了。」,"""Quest'isola non è così piccola come si potrebbe pensare. Sfortunatamente, sarebbe difficile perlustrarla con così poche persone. ... Dopotutto, se trovaste ora il colpevole, lo uccidereste. Se il criminale spaventato è corso in quella fitta foresta, non lo troverete facilmente.""",[=UP]
Ushiromiya Hideyoshi,"""...... ...Right. ...We should just wait for the typhoon to pass, have the boat call the police for us, and let them thoroughly search the island... The police are incredible. They'll bring hundreds of people and pick through it with a fine-toothed comb. ...That forest may be deep, but they'll definitely smoke the culprit out..."" ","""........................... ......Right. ...We should just wait patiently for the typhoon to pass, have the boat call the police for us, and let them thoroughly search the island... The police are incredible, y'know. They'll bring hundreds of people and pick through it with a fine‐toothed comb. ......That forest may be deep, but they'll definitely smoke the killer out...""","""..................Right. ...We should just wait for the typhoon to pass, have the boat call the police for us, and let them thoroughly search the island... The police are incredible. They'll bring hundreds of people and pick through it with a fine-toothed comb. ......That forest may be deep, but they'll definitely smoke the culprit out...""",「………………………。……そやな。…大人しく、台風が過ぎるのを待って、船に警察を呼んでもらい、島中を徹底的に探し回ってもらう方がえぇやろ…。警察はな、すごいでぇ。何百人も来てくれて、ホンマに虱潰しで探すんや。……いくらあの深い森でもな、絶対に炙り出して見せるでぇ…。」,「………………………。……そやな。…大人しく、台風が過ぎるのを待って、船に警察を呼んでもらい、島中を徹底的に探し回ってもらう方がえぇやろ…。警察はな、すごいでぇ。何百人も来てくれて、ホンマに虱潰しで探すんや。……いくらあの深い森でもな、絶対に炙り出して見せるでぇ…」,"""............ ......Верно. ...Нужно всего лишь дождаться окончания тайфуна, с катера позвонить в полицию и дать им как следует обыскать остров... Полиция невероятна. Они привезут сотни людей и пройдутся по нему тонкозубым гребнем. ......Может, этот лес и глубокий, но преступника обязательно выкурят...""","""........................... ......Certo. ...Nós devemos esperar pacientemente até que o tufão passe, para que o barco chame a polícia para nós, e assim deixar que eles procurem pela ilha... A polícia é incrível, sabiam? Eles trazem centenas de pessoas e procuram por agulhas no palheiro. ......A floresta pode ser profunda, mas eles definitivamente vão achar a trilha do assassino...""",「………………………。……是吶。…還是，老老實實地等台風離去，在船上報警叫警察來徹底搜遍整個島，比較好吶…。警察可厲害了吶。是會來個幾百人，真的是會一處都不漏地搜個遍的吶。……哪怕藏到那很深的森林裡，也絕對會令其無所遁形…」,「………………………。……是呐。…还是，老老实实地等台风离去，在船上报警叫警察来彻底搜遍整个岛，比较好呐…。警察可厉害了呐。是会来个几百人，真的是会一处都不漏地搜个遍的呐。……哪怕藏到那很深的森林里，也绝对会令其无所遁形…」,"""... Giusto. ... Dovremmo aspettare che il tifone sia passato, farci chiamare la polizia dalla nave, e lasciare che perlustrino l'isola da cima a fondo... {n}la polizia è incredibile. Porteranno centinaia di persone e la setacceranno con un pettine. ... Quella foresta potrà essere fitta, ma staneranno di sicuro il colpevole...""",[=UP]
Ushiromiya Krauss,"""The most important thing now... ...is to make sure no more of our beloved family members are taken from us. ......Rudolf, if something happens to you, what will happen to Ange-chan back home?"" ","""The most important thing now......is to make sure no more of our beloved family members are taken from us. .........Rudolf. If something happens to you, what will happen to Ange‐chan back home?""","""The most important thing now......is to make sure no more of our beloved family members are taken from us. .........Rudolf. If something happens to you, what will happen to Ange-chan back home?""",「今、一番大事なのは。……これ以上、愛する家族を失わないことだ。………留弗夫。お前に万が一があったら、帰りを待つ縁寿ちゃんはどうなる。」,「今、一番大事なのは。……これ以上、愛する家族を失わないことだ。………留弗夫。お前に万が一があったら、帰りを待つ縁寿ちゃんはどうなる」,"""Более важно сейчас...... проследить, чтобы больше никого из членов нашей любимой семьи у нас не забрали. .........Рудольф. Если с тобой что‐нибудь случится, что будет с Энджи?""","""A coisa mais importante agora......é ter certeza que mais nenhum dos membros das nossas amadas famílias será tomado de nós. .........Rudolf. Se algo acontecer com você, o que acha que vai acontecer com a Ange‐chan?""",「現在，最重要的是，……防止失去更多，我們所愛的家人。………留弗夫。你要是有個萬一，等你回去的小緣壽該怎麼辦？」,「现在，最重要的是，……防止失去更多，我们所爱的家人。………留弗夫。你要是有个万一，等你回去的小缘寿该怎么办？」,"""La cosa più importante ora... è accertarci che nessun altro dei nostri cari familiari ci venga portato via. ... Rudolf. Se ti accadesse qualcosa, cosa accadrebbe a Ange-chan a casa?""",[=UP]
Ushiromiya Rudolf,"""...Kyrie, ......Battler...... ......Dammit...dammiiiiiiit... ...I never...had a chance...to tell you the truth......"" ","""......Kyrie............Battler......... .........Dammit, ......dammiiiiiiit...... ......I never......had a chance.........to tell you the truth.........""","""......Kyrie.........Battler......... .........Dammit......dammiiiiiiit............I never......had a chance......to tell you the truth.........""",「……霧江……、……戦人………。………畜生、……畜生ぉおおぉ……。……お前たちに、……俺はまだ、………打ち明けてねぇってのに………。」,「……霧江……、……戦人………。………畜生、……畜生ぉおおぉ……。……お前たちに、……俺はまだ、………打ち明けてねぇってのに………」,"""......Кирие......... Баттлер......... .........Чёрт...... чёрт возьми‐и‐и‐и............ Мне...... так и не представился шанс...... рассказать вам правду.........""","""......Kyrie............Battler......... .........Merda, ......merdaaaaaaaa...... ......Eu nunca......tive a chance.........de contar a verdade a vocês.........""",「……霧江…………戰人………。………畜生，……畜生————……。……我都還沒，……跟你們………坦白啊………」,「……雾江…………战人………。………畜生，……畜生————……。……我都还没，……跟你们………坦白啊………」,"""... Kyrie... Battler... dannazione... dannazioneeeee... non ho mai... avuto la possibilità... di dirvi la verità...""",[=UP]
