Speaker,Umineko Project (UP),Steam - Umineko Project (ST),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Simplified (CN),Chinese Traditional (CHT),Italian - Ars Magica - Old (ITA),Spanish (ES)
Furfur,"""Of course, any lover with their partner killed is disqualified.""","""Of course, any lover with their partner killed is disqualified."" ",[=UP],「当然、相方を殺された恋人たちは、失格となって脱落するわ。」,「当然、相方を殺された恋人たちは、失格となって脱落するわ」,"""Разумеется, любой влюблённый, чей партнёр убит, дисквалифицируется.""","""Obviamente, qualquer par que tiver seu parceiro morto será desqualificado.""",「当然，搭档被杀的那组情侣，是将失去参加资格，淘汰出局。」,「當然，搭檔被殺的那組情侶，是將失去參加資格，淘汰出局。」,"""Ovviamente, ogni amante col proprio partner ucciso verrà squalificato.""","""Por supuesto, cualquier amante cuya pareja sea asesinada será descalificado."""
Zepar,"""In short, one pair of lovers must drop out during this trial!""","""In short, one group of lovers must fail during this trial!"" ","""In short, one group of lovers must fail during this trial!""",「つまり、確実に１組の恋人たちに脱落してもらう試練というわけさ！」,[=JP],"""Короче говоря, в этом испытании одна группа влюблённых должна проиграть!""","""Em suma, um par de amantes deve nos deixar durante esta prova!""",「换言之，这是场肯定会淘汰掉 1 组情侣的考验！」,「換言之，這是場肯定會淘汰掉 1 組情侶的考驗！」,"""In breve, un gruppo di amanti deve fallire durante questa prova!""","""En resumen, ¡un grupo de amantes debe fallar durante esta prueba!"""
Ushiromiya Battler,"""......You say ""kill"" so simply. ......What are we supposed to do?""","""...You say ""kill"" so easily. ...What exactly are we supposed to do?"" ","""......You say kill so simply. ......What are we supposed to do?""",「………殺す、と簡単に言うが。……どうしろってんだ。」,「………殺す、と簡単に言うが。……どうしろってんだ」,"""......Вы так просто говорите об убийстве. ......Что нам делать?""","""......Vocês dizem ""matar"" como se fosse tão simples. ......O que nós deveríamos fazer?""",「………杀，说得简单。……不过，这是得怎么做？」,「………殺，說得簡單。……不過，這是得怎麼做？」,"""... Parlate di uccidere così facilmente. ... Cosa dovremmo fare?""","""... Dices ""asesinar"" con mucha sencillez... ¿Qué se supone que tenemos que hacer?"""
Zepar,"""You can fight to the death—""","""You can just fight to the death-"" ","""You can just fight to the death-""",「殺し合いをしてもいいし、」,[=JP],"""Можете просто драться насмерть‐""","""Vocês podem lutar até a morte—""",「互相残杀也可，」,「互相殘殺也可，」,"""Potete anche soltanto scontrarvi fino alla morte-""","""Solo puedes luchar hasta la muerte—"""
Furfur,"""Or you can decide by a lottery of some sort.""","""Or you can decide by a lottery of some sort."" ",[=UP],「クジ引きか何かで決めてもいい。」,「クジ引きか何かで決めてもいい」,"""Или же решить лотереей.""","""Ou decidir isso no palitinho.""",「用抽签什么的，决定也行。」,「用抽簽什麼的，決定也行。」,"""Oppure potete decidere per una lotteria di qualche genere.""","""O puedes decidir por una lotería de algún tipo."""
Ushiromiya Jessica,"""Like hell we're gonna choose by drawing lots. Let's have a duel, fair and square.""","""Like hell we'd choose by drawing lots. Let's have a fair and square duel."" ","""Like hell we'd choose by drawing lots. Let's have a fair and square duel.""",「クジ引きで決めるなんて、冗談じゃねぇぜ。正々堂々と決闘しようじゃねぇか。」,「クジ引きで決めるなんて、冗談じゃねぇぜ。正々堂々と決闘しようじゃねぇか」,"""Чёрта с два мы будем выбирать по жребию. Устроим честный и справедливый поединок.""","""Até parece que vamos escolher isso por sorteio. Vamos ter um duelo justo e honesto.""",「用抽签决定，开个屁玩笑？咱们来堂堂正正地决斗吧。」,「用抽簽決定，開個屁玩笑？咱們來堂堂正正地決鬥吧。」,"""Col cavolo che sceglieremmo con una lotteria. Facciamo un duello bello e buono.""","""De ninguna forma lo haremos por sorteo. Tengamos un duelo limpio y justo."""
Ushiromiya George,"""......Though if we do that, I imagine that Battler‐kun, who is the Game Master, and {f:5:Beatrice}, who is still the Golden Witch despite having no memory, ......will have a substantial advantage.""","""...Though if we do that, I imagine that Battler-kun, the Game Master, and {f:5:Beatrice}, who is the Golden Witch even though her memory is gone, ...will have a substantial advantage."" ","""......Though if we do that, I imagine that Battler-kun, the Game Master, and Beatrice, who is the Golden Witch even though her memory is gone, ......will have a substantial advantage.""",「……そうなると、ゲームマスターの戦人くんと、……記憶がないとはいえ、黄金の魔女、ベアトリーチェが相当有利な気もするんだけどね。」,「……そうなると、ゲームマスターの戦人くんと、……記憶がないとはいえ、黄金の魔女、ベアトリーチェが相当有利な気もするんだけどね」,"""......Хотя так у Баттлера — Владельца игры — и у Золотой ведьмы {f:5:Беатриче}, пусть даже потерявшей память...... будет значительное преимущество.""","""......Apesar que se fizermos isso, eu imagino que o Battler‐kun, que é o Game Master, e a {f:5:Beatrice}, que ainda é a Bruxa Dourada, apesar de ter perdido as memórias, ......vão ter uma vantagem substancial.""",「……不过要这么来，我感觉 GM 战人君，……与虽说没有记忆，但身为黄金魔女的贝阿朵莉切，是会相当有利呢。」,「……不過要這麼來，我感覺 GM 戰人君，……與雖說沒有記憶，但身為黃金魔女的貝阿朵莉切，是會相當有利呢。」,"""... Però se facciamo così immagino che Battler-kun, il Game Master, e Beatrice, che è la Strega Dorata anche se ha perso la memoria... avranno un cospicuo vantaggio.""","""... Aunque si hacemos eso, me imagino que Battler-kun, el Game Master, y {f:5:Beatrice}, que sigue siendo la Bruja dorada a pesar de que su memoria se ha ido... tienen una ventaja sustancial."""
{f:5:Beatrice},"""Ah, ......w‐......well, I wonder about that...""","""Ah, ...w-well, I wonder about that..."" ","""Ah, ......w, ......well, I wonder about that...""",「あ、……ど、……どうでしょう…。」,「あ、……ど、……どうでしょう…」,"""A...... н‐ну, я не уверена...""","""Ah, ......b‐......bem, será...?""",「啊……这……这就不知道了呢…」,「啊……這……這就不知道了呢…」,"""Ah... b... beh, non saprei...""","""Ah... bu-bueno, me lo pregunto..."""
Zepar,"""Don't worry! For this trial, we have made everyone's powers completely equal.""","""Don't worry! For this trial, we have made everyone's powers equal."" ","""Don't worry! For this trial, we have made everyone's powers equal.""",「安心して！　この試練では、みんなの力は完全に公平にさせてもらってるんだ。」,「安心して！　この試練では、みんなの力は完全に公平にさせてもらってるんだ」,"""Не беспокойтесь! На этом испытании все равны.""","""Não se preocupe! Para esta prova, nós faremos que a força de todos seja igual.""",「放心！在这场考验中，是会完全平衡诸位的实力。」,「放心！在這場考驗中，是會完全平衡諸位的實力。」,"""Non preoccuparti! Per questa prova, abbiamo fatto sì che i poteri di ciascuno fossero alla pari.""","""¡No te preocupes! Para esta prueba, hemos igualado los poderes de todos."""
Furfur,"""Even the Game Master, Lord {f:5:Battler}, is taking this trial on an even footing with everyone else.""","""Even the Game Master, Lord {f:5:Battler}, is taking this trial on an even footing with everyone else."" ","""Even the Game Master, Lord BATTLER, is taking this trial on an even footing with everyone else.""",「ゲームマスターのバトラ卿でさえ、この試練では全員と互角なの。」,「ゲームマスターのバトラ卿でさえ、この試練では全員と互角なの」,"""Даже Владелец игры, лорд {f:5:Баттлер}, участвует наравне со всеми.""","""Até mesmo o Game Master, o Lorde {f:5:Battler}, participará desta prova em pé de igualdade com os demais.""",「就连 GM 巴托拉卿，都是在这场考验中与所有人不相上下。」,「就連 GM 巴托拉卿，都是在這場考驗中與所有人不相上下。」,"""Perfino il Game Master, Lord BATTLER, sta affrontando questa prova su un livello pari a quello degli altri.""","""Incluso el Game Master, Lord {f:5:Battler}, está tomando esta prueba en igualdad de condiciones que todos los demás."""
{f:5:Beatrice},"""In that case, ......it's fair......""","""In that case, ...it's fair..."" ",[=UP],「それなら……、公平ですね……。」,「それなら……、公平ですね……」,"""Тогда...... всё честно......""","""Nesse caso, ......é justo......""",「这样的话……，倒是很公平呢……」,「這樣的話……，倒是很公平呢……」,"""In tal caso... è leale...""","""En ese caso es justo..."""
Ushiromiya George,"""Is it completely and purely even?""","""Is it completely and purely on an even footing?"" ","""Is it completely and purely on an even footing?""",「完全に、純粋に互角なのかい。」,「完全に、純粋に互角なのかい」,"""Полностью и исключительно на равной основе?""","""Completamente justo e equilibrado?""",「是完全纯粹的，不相上下吗？」,「是完全純粹的，不相上下嗎？」,"""È completamente e puramente sullo stesso livello?""","""¿Está esto completa y puramente en igualdad de condiciones?"""
,"""""Yes, perfectly even! In a one‐on‐one fight, the luck of the moment would determine the outcome!""""","""""Yes, it's perfectly even! In a one on one matchup, victory would be decided by luck!"""" ","""""Yes, it's perfectly even! In a one on one matchup, victory would be decided by luck!""""",「「えぇ、完全に互角！　１対１なら、勝敗は時の運！」」,[=JP],"""""Да, на идеально равной! В поединке один на один победителя определит удача!""""","""""Sim, perfeitamente equilibrado! Se for uma luta mano‐a‐mano, a sorte do momento determinará o resultado!""""",「「没错，完全不相上下！1 对 1 的话，胜败全看一时的运气！」」,「「沒錯，完全不相上下！1 對 1 的話，勝敗全看一時的運氣！」」,"""""Sì, è perfettamente equo! In uno scontro uno contro uno, la vittoria sarebbe decisa dalla fortuna!""""","""""Sí, ¡es perfectamente parejo! ¡En un partido uno contra uno, la victoria se decidirá por suerte!"""""
Zepar,"""As all is perfectly equal—""","""It's perfectly even-"" ","""It's perfectly even-""",「完全に互角だからね、」,[=JP],"""На идеально равной‐""","""Tudo será perfeitamente justo—""",「因为完全不相上下，」,「因為完全不相上下，」,"""È perfettamente bilanciato-""","""Es perfectamente parejo—"""
Furfur,"""It'll probably take a while to finish a fight.""","""So it'll probably take some time before it's settled."" ","""So it'll probably take some time before it's settled.""",「決着にも時間が掛かると思うわ。」,「決着にも時間が掛かると思うわ」,"""Поэтому потребуется время, прежде чем решится исход.""","""Provavelmente levará um tempinho até a luta terminar.""",「所以，我想分出胜负得花不少时间。」,「所以，我想分出勝負得花不少時間。」,"""Perciò probabilmente ci vorrà del tempo prima di raggiungere un esito.""","""Así que probablemente las batallas serán un poco largas."""
Zepar,"""So perhaps the trick would be to attack in advantageous circumstances?""","""So, is the trick to attack when you're in a superior position, I wonder?"" ","""So, is the trick to attack when you're in a superior position, I wonder?""",「だから、優位な状況で襲うのがコツかな？」,[=JP],"""Значит, когда есть преимущество, можно схитрить и напасть?""","""Talvez o truque seja atacar em uma circunstância vantajosa?""",「所以，在优势状况下袭击，即是窍门所在吧？」,「所以，在優勢狀況下襲擊，即是竅門所在吧？」,"""Quindi mi chiedo se il trucco sia attaccare mentre sei in una posizione superiore.""","""Por lo tanto, me pregunto si es el truco atacar cuando estás en una posición superior."""
Furfur,"""Duels that take time are, of course, wonderful too!""","""Duels that take time are, of course, wonderful!"" ","""Duels that take time are, of course, wonderful!""",「とことん時間をかけての決闘も、もちろん、　素敵！」,「とことん時間をかけての決闘も、もちろん、素敵！」,"""Дуэли, требующие времени, замечательны!""","""Duelos que consomem tempo, é claro, também são maravilhosos!""",「花上大把时间死拖到底的决斗，也当然，妙不可言！」,「花上大把時間死拖到底的決鬥，也當然，妙不可言！」,"""I duelli che richiedono tempo sono, ovviamente, magnifici!""","""¡Los duelos que toman tiempo son maravillosos, por supuesto!"""
Ushiromiya Jessica,"""Why would anyone leave it up to luck? .........Of course we want the fight to be in our favor.""","""Why would anyone leave it up to luck? ...Of course we wanna fight in a situation to our advantage."" ","""Why would anyone leave it up to luck? ......Of course we want to fight in a situation to our advantage.""",「誰が運任せで戦うもんか。………自分に有利な状況で戦いたいに決まってるぜ。」,「誰が運任せで戦うもんか。………自分に有利な状況で戦いたいに決まってるぜ」,"""Зачем полагаться на удачу?......Естественно, мы хотим бороться так, чтобы было преимущество.""","""Por que alguém iria deixá‐lo ao acaso? .........É claro que queremos que a luta esteja ao nosso favor.""",「谁会去靠运气地战啊？………肯定是会，想在对自己有利的状况下战吧？」,「誰會去靠運氣地戰啊？………肯定是會，想在對自己有利的狀況下戰吧？」,"""Perché qualcuno dovrebbe lasciar fare alla fortuna? ... È ovvio che vogliamo combattere in una situazione che ci avvantaggi.""","""¿Por qué alguien va a depender de la suerte?... Por supuesto que queremos luchar en una situación a nuestro favor."""
{f:5:Beatrice},""".........In that case, ......a three‐way struggle...? ......Wouldn't that mean we'd all be stuck...?""","""...In that case, ...a three-way struggle...? ...Won't that mean we're stuck...?"" ","""......In that case, ......a three-way struggle...? ......Won't that mean we're stuck...?""",「………となると、……三つ巴…？　……これでは、動けないのでは…。」,「………となると、……三つ巴…？　……これでは、動けないのでは…」,"""......Выходит...... трёхсторонняя борьба?.. ......Мы так не застрянем?..""",""".........Neste caso, ......um embate de três...? ......Isso não significaria que ficaríamos todos presos...?""",「………如此一来，……即便是三足鼎立…？……这下，不就无法轻举妄动了嘛…？」,「………如此一來，……即便是三足鼎立…？……這下，不就無法輕舉妄動了嘛…？」,"""... In tal caso... uno scontro triplo...? ... Non significa forse che siamo bloccati...?""","""... En ese caso ¿una lucha a tres bandos?... ¿No significa eso que estamos atascados?..."""
,Beato was the first to notice.,Beato was the first to notice. ,[=UP],最初にベアトが気付く。,[=JP],Беато заметила первой.,Beato foi a primeira a perceber.,贝阿朵第一个意识到。,貝阿朵第一個意識到。,Beato fu la prima ad accorgersene.,Beato fue la primera en darse cuenta.
,"If all six of them were truly on an even footing, and they wanted to fight so that they could win, they would have to fight as pairs and concentrate their attacks on a single person.","If the six were truly on an even footing, and both willing and capable of winning, one pair would have to concentrate their attacks on a single person. "," If the six people were truly on an even footing and wanted to fight so that they could win, they would have to pair up and concentrate their attacks on a single person.",完全に互角の６人が、勝てるように勝負しようとしたら、ペアで誰か１人を集中攻撃するしかない。,[=JP],"Если шесть человек действительно равны и хотят победить, они разделятся на пары и сосредоточат свои атаки на одном человеке.","Se todos os seis estivessem mesmo em pé de igualdade, e lutassem para que pudessem vencer, eles teriam que lutar em pares e concentrar seus ataques em uma única pessoa.",完全不相上下的 6 人，如果去为取胜而开打的话，只能靠情侣联手集中攻击别的某 1 人。,完全不相上下的 6 人，如果去為取勝而開打的話，只能靠情侶聯手集中攻擊別的某 1 人。,"Se le sei persone fossero veramente su un livello pari per tutti e volessero combattere per vincere, avrebbero dovuto mettersi a coppie e concentrare i propri attacchi su una singola persona.","Si las seis personas estuvieran de verdad en igualdad de condiciones y quisieran luchar de modo que ellos pudieran ganar, ellos tendrían que luchar junto a su pareja y concentrar sus ataques contra una sola persona."
,"However, if they did so, that person's partner would naturally join in to fight back as a pair.","If that happened, then the pair containing their target would, of course, band together and resist. "," If that happened, then the pair containing the member they were targeting would, of course, band together and resist.",そうなれば、相手のペアも当然、結託して立ち向かってくるだろう。,[=JP],"Пара участника, на которого нацелились, обязательно объединится с ним и окажет сопротивление.","Entretanto, se fizessem isso, o parceiro dessa pessoa naturalmente se juntaria a luta para lutar como uma dupla.",这么一来，对方的那一对也当然是会联手迎面反击吧？,這麼一來，對方的那一對也當然是會聯手迎面反擊吧？,"Se fosse accaduto ciò, allora la coppia che conteneva il membro preso di mira avrebbe, ovviamente, fatto fronte comune e resistito.","Pero si eso ocurriera, la pareja de esa persona naturalmente se uniría a la pelea para defenderle."
,"In other words, it would never end up as two against one.","In other words, it would never be two against one. "," In other words, it would never be two against one.",つまり、２対１には、決してなりはしない。,[=JP],"А значит, двух против одного ни за что не будет.","Em outras palavras, nunca acabaria sendo dois contra um.",这也即是代表着，绝对不会成为 2 对 1。,這也即是代表著，絕對不會成為 2 對 1。,"In altre parole, non sarebbe mai stato due contro uno.","En otras palabras, nunca sería un dos contra uno."
,"It would be two against two, and a battle like that could go either way.","It would become two against two, and a matter of luck. "," In that case, it would become two against two, and a matter of luck.",こうなると、２対２の勝敗は時の運になる。,[=JP],"Скорее, двое против двух и вопрос удачи.","Seria dois contra dois, e uma batalha assim não iria funcionar.",这么一来，2 对 2 的胜败即是得看那时的运气了。,這麼一來，2 對 2 的勝敗即是得看那時的運氣了。,"In quel caso, sarebbe divenuto due contro due, e una questione di fortuna.","En ese caso, se convertiría en dos contra dos, y su resultado sería cuestión de suerte."
,"However, if that were to happen, the third pair watching all this...could team up with whichever pair they liked with no risk to themselves, defeating the opposing pair with certainty...","However, at that time, any third pair who happened to be watching this... could team up with whichever pair they liked with no risk to themselves, defeating the opposing pair with certainty... "," However, at this time, the third pair watching all this... could team up with whichever pair they liked with no risk to themselves, defeating the opposing pair with certainty...",しかしこの時、これを観戦している第３のペアは、負けるリスクを一切負わずに、好きなペアに加勢することで、相手を確実に敗ることが出来る…。,しかしこの時、これを観戦している第３のペアは、負けるリスクを一切負わずに、好きなペアに加勢することで、相手を確実に破ることが出来る…。,"Но вместе с тем третья пара, наблюдающая за всем этим, может объединиться с кем захочет без риска для себя, непременно победив противостоящую пару...","Contudo, se isso acontecer, o terceiro par que estiver assistindo...poderia se juntar com o par que quisesse sem se arriscar, e certamente derrotaria o par oposto...",然而此时，在进行观战的第 3 对情侣，乃是可以不背负任何败阵的风险，随自己喜欢地给其中某对助阵，令另一对确实无误地败北…。,然而此時，在進行觀戰的第 3 對情侶，乃是可以不背負任何敗陣的風險，隨自己喜歡地給其中某對助陣，令另一對確實無誤地敗北…。,"Tuttavia, in quel momento, la terza coppia che stava osservando tutto ciò... avrebbe potuto allearsi con qualsivoglia coppia avessero preferito senza rischio per se stessi, sconfiggendo con certezza la coppia nemica...","Sin embargo, en ese momento, la tercera pareja que estaría viendo todo eso... podría aliarse con la pareja que les gustara y no representara riesgo para ellos mismos, derrotando a la pareja contraria con certeza..."
Ushiromiya George,"""Sounds troublesome. ......It means that it isn't to your advantage to move first.""","""Sounds troublesome. ...It means that moving first is disadvantageous."" ",[=UP],「面倒な話だね。……先に動くことが、有利ではないというわけか。」,「面倒な話だね。……先に動くことが、有利ではないというわけか」,"""Звучит проблематично. ......Значит, не в наших интересах делать первый шаг.""","""Parece problemático. ......Significa que não é vantajoso fazer o primeiro movimento.""",「真麻烦。……先出手，并不代表有利么？」,「真麻煩。……先出手，並不代表有利麼？」,"""Sembra problematico. ... Significa che non è un vantaggio muoversi per primi.""","""Suena problemático... Esto quiere decir que no es favorable moverse primero."""
,"If you take the initiative to fight, it's a matter of luck.{n}If you sit and wait for the others to start fighting, it's certain victory.","If you step forward and fight, it's a matter of luck. If you sit and wait for the others to start fighting, it's certain victory. ","If you advance and fight, it's a matter of luck. If you sit and wait for the others to start fighting, it's certain victory.",進んで戦えば、時の運。相手が戦い出すのをじっと待てば、絶対の勝利。,進んで戦えば、時の運。{n}相手が戦い出すのをじっと待てば、絶対の勝利。,"Если сделаешь первый шаг и будешь сражаться — это вопрос удачи.{n}Если будешь сидеть и ждать, пока другие начнут сражаться, — абсолютная победа.","Se tomar a iniciativa na luta, se torna tudo questão de sorte.{n}Se sentar e esperar a luta dos outros começar, é uma vitória certa.",主动出击，那就得看那时的运气。{n}一动不动地等待对手开打，那就会等来绝对的胜利。,主動出擊，那就得看那時的運氣。{n}一動不動地等待對手開打，那就會等來絕對的勝利。,"Se ti fai avanti e combatti, è questione di fortuna. Se ti siedi e aspetti che gli altri inizino a combattere, è una vittoria certa.","Si avanzas y peleas, es un asunto de suerte.{n}Si te sientas y esperas a que los otros empiecen a luchar, es una victoria segura."
,......The fight would never begin in circumstances like this...,...A fight would never begin in this situation... ,......The fight would never begin in this situation...,……この状況では、絶対に戦いが始まらない…。,[=JP],......В такой ситуации борьба никогда не начнётся...,......A luta nunca teria início sob circunstâncias como essas...,……在这状况下，绝对不会开打…。,……在這狀況下，絕對不會開打…。,... La battaglia non comincerebbe mai in questo caso...,... La lucha nunca iniciaría en esta situación...
Kanon,"""......Maybe we could just have everyone fight the person next to them one on one. ......Then, as soon as one fight is settled, the trial will be over.""","""...Maybe we could just have everyone fight the person next to them one on one. ...Then, as soon as one fight is settled, the trial will be over."" ",[=UP],「……６人全員がそれぞれ隣同士と、１対１で同時に戦えばいいんじゃないでしょうか。……誰かの決着がついた時点で、試練は決着する。」,「……６人全員がそれぞれ隣同士と、１対１で同時に戦えばいいんじゃないでしょうか。……誰かの決着がついた時点で、試練は決着する」,"""......Может, всем просто выбрать себе в противники того, кто стоит рядом?......И испытание закончится, когда решится исход одной из битв.""","""......Talvez possamos simplesmente fazer com que todos lutem com a pessoa que estiver ao seu lado. ......Então, assim que uma luta terminar, a prova termina.""",「……6 人全都与彼此身旁的对手，1 对 1 地同时开打，怎么样？……在谁分出胜负时，考验即便有了结果。」,「……6 人全都與彼此身旁的對手，1 對 1 地同時開打，怎麼樣？……在誰分出勝負時，考驗即便有了結果。」,"""... Magari potremmo fare soltanto che ognuno combatta la persona che ha a fianco uno contro uno. ... Poi, quando un combattimento sarà terminato, la prova avrà fine.""","""... Tal vez podríamos hacer que todos peleemos con la persona junto a nosotros uno contra uno... Entonces, tan pronto como una de las peleas se acabe, la prueba habrá terminado."""
,"Unless everyone could abandon any naive hopes for a two‐on‐one fight, this trial would never begin and never end.","Unless everyone could abandon any naive hopes for a two on one fight, this trial would never begin and never end. ","Unless everyone could abandon any naive hopes for a two on one fight, this trial would never begin and never end.",２対１で戦えるかもしれないという甘えを捨てない限り、この試練は永遠に始まらず、そして終わらない。,[=JP],"Пока все не откажутся от наивных надежд на двух против одного, испытание никогда не начнётся и не закончится.","A não ser que todos possam abandonar quaisquer esperanças ingênuas de uma luta de dois contra um, esta prova nunca irá começar e nunca terminará.",除非是扔掉“也许能 2 打 1”的占便宜心理，否则这场考验，永不得开始，永不得结束。,除非是扔掉“也許能 2 打 1”的佔便宜心理，否則這場考驗，永不得開始，永不得結束。,"A meno che tutti riuscissero ad abbandonare ogni ingenua speranza per un combattimento due contro uno, questa prova non avrebbe mai avuto né un inizio né una fine.","A menos que todo el mundo pudiera abandonar cualquier esperanza ingenua de una pelea de dos contra uno, esta prueba nunca comenzaría y nunca terminaría."
,"In that case, they could make a gentlemen's agreement and have everyone duel at once, which would be no different from drawing lots, ......but at least it would be fair...","In that case, if they made a gentlemen's agreement and had everyone duel at once, it would be no different from drawing lots, ...but it would at least be even... "," In that case, if they made a gentlemen's agreement and had everyone duel at once, it would be no different from drawing lots, ......but it would at least be even...",なら、紳士協定により全員で一斉に決闘すれば、クジ引きと状況は変わらないが、……とにかく公平ではある…。,[=JP],"Так заключение джентльменского соглашения и начало дуэли всеми одновременно ничем бы не отличалось от жеребьёвки...... но, по крайней мере, всё было бы на равных...","Nesse caso, eles poderiam fazer um acordo de cavalheiros e todos duelariam simultaneamente, o que não seria diferente de um sorteio, ......mas ao menos seria justo...",那么，如能根据绅士协定地全体一齐开始决斗，虽与抽签毫无不同，……但这总之是公平了…。,那麼，如能根據紳士協定地全體一齊開始決鬥，雖與抽簽毫無不同，……但這總之是公平了…。,"In tal caso, se avessero stretto un accordo da gentiluomini facendo duellare tutti quanti allo stesso momento, non sarebbe stato differente dal tirare a sorte... ma almeno sarebbe stata una lotta alla pari...","En ese caso, si hacen un pacto de caballeros y luchan todos a la vez, no sería diferente a un sorteo... pero al menos sería parecido..."
Shannon,"""That won't work. If we do that, everyone will just defend instead of fighting proactively. All they need to do is wait for someone to lose before they do.""","""That won't work. If we do that, everyone will just defend instead of fighting proactively. All they need to do is wait for someone to lose before they do."" ",[=UP],「それは無理。そうなったら、みんな、積極的に戦わず保身する。その間に、誰かが負けてくれればいいのだから。」,「それは無理。そうなったら、みんな、積極的に戦わず保身する。その間に、誰かが負けてくれればいいのだから」,"""Не выйдет. Так все просто будут защищаться, а не атаковать. Нужно лишь дождаться, когда проиграет кто‐нибудь другой.""","""Isso não funcionaria. Se fizermos isso, todos vão só defender ao invés de lutar proativamente. Tudo o que precisariam fazer é esperar que alguém perdesse primeiro.""",「这个不成。因为，如果这样，那大家就将会积极不战保身，在那段时间里，等别的谁输掉就行了。」,「這個不成。因為，如果這樣，那大家就將會積極不戰保身，在那段時間裡，等別的誰輸掉就行了。」,"""Non funzionerà. Se facciamo così, tutti quanti si difenderanno anziché combattere attivamente. Tutto ciò che devono fare è aspettare che qualcuno perda prima di loro.""","""Eso no funcionará. Si lo hacemos, todos nos defenderemos en lugar de luchar. Todo lo que tienen que hacer es esperar a que alguien pierda antes que ellos."""
,Shannon's point was a sound one.,Shannon's point was a sound one. ,[=UP],紗音の言い分はもっともだ。,[=JP],Шаннон была права.,O ponto de Shannon era razoável.,纱音的意见，极有道理。,紗音的意見，極有道理。,Shannon aveva sollevato un punto importante.,La opinión de Shannon fue acertada.
,"If both fighters just glared at each other without attacking, then neither would lose.","If both fighters just glared at each other without attacking, then neither would lose. "," If both fighters just glared at each other without attacking, then neither would lose.",互いが睨み合ったまま、手を出さなければ。決闘者同士は、互いに負けはしない。,[=JP],"Если бы оба боксёра просто смотрели друг на друга, не нападая, никто бы не проиграл.","Se ambos os oponentes apenas ficassem se olhando sem se atacarem, então ninguém perderia.",彼此互瞪着对方，就是不动手的话。决斗双方彼此都不会输。,彼此互瞪著對方，就是不動手的話。決鬥雙方彼此都不會輸。,"Se entrambi i combattenti si fossero limitati a fissarsi negli occhi senza attaccarsi, nessuno dei due avrebbe perso.","Si ambos luchadores solo se fulminaran con la mirada el uno al otro sin atacarse, entonces ninguno perdería."
,They would only have to wait for someone other than themselves to lose first.,All they had to do was wait for someone other than themselves to lose first. , All they had to do was wait for someone other than themselves to lose first.,その間に、自分以外の誰かが敗れてくれるのを待てばいいのだ。,[=JP],"Им всего лишь нужно ждать, когда кто‐нибудь другой проиграет первым.",Eles só teriam que esperar que alguém além deles perdesse.,只需在这段时间里，等除自己外的别的谁落败就行了。,只需在這段時間裡，等除自己外的別的誰落敗就行了。,Tutto ciò che dovevano fare era attendere che qualcuno oltre a loro perdesse per primo.,Todo lo que ellos tendrían que hacer es esperar a que alguien más perdiera primero.
,This brought them back to the starting point. ......No one would fight proactively.,This brought them back to the starting point. ...No one would fight proactively. , This brought them back to the starting point. ......No one would fight proactively.,これでは再び振り出し。……誰も積極的に戦いはしない。,[=JP],Что приводит их обратно к исходной точке. ......Никто не станет атаковать.,Isso os levou de volta ao ponto de partida. ......Ninguém iria lutar proativamente.,这下是重归起点。……谁都不会积极开打。,這下是重歸起點。……誰都不會積極開打。,Questo li riportò al punto iniziale. ... Nessuno avrebbe combattuto attivamente.,Esto los devolvió al punto de partida... Nadie lucharía activamente.
{f:5:Beatrice},"""In the end, no one will move, and nothing will be resolved...""","""In the end, no one will move, and nothing will be resolved..."" ",[=UP],「結局、全員が動かず、決着がつきません…。」,「結局、全員が動かず、決着がつきません…」,"""Никто так и не сделает шаг вперёд, и ничто не разрешится...""","""No fim, ninguém iria se mover, e nada seria resolvido...""",「结果，所有人都不会出手，不会有了结…」,「結果，所有人都不會出手，不會有了結…」,"""Alla fine, nessuno si muoverà, e non risolveremo nulla...""","""Al final, nadie se moverá y nada se resolverá..."""
Ushiromiya Battler,""".........Since we're in this mathematical situation where we all have the same strength, ......it's almost like a puzzle.""","""...Since there's this arithmetical situation where we all have the same strength, ...it's almost like a puzzle."" ","""......Since there's this arithmetical situation where we all have the same strength, ......it's almost like a puzzle.""",「………全員の強さが互角、という算数的状況のせいで、……パズルみたいになっちまったな。」,「………全員の強さが互角、という算数的状況のせいで、……パズルみたいになっちまったな」,"""......В арифметической ситуации, где все мы равны по силе...... это почти как головоломка.""",""".........Já que estamos todos nessa situação matemática onde todos temos a mesma força, ......é quase como um quebra‐cabeças.""",「………都怪这个“所有人的强弱不相上下”的数学般的状况，……这事是变得跟智力题差不多了。」,「………都怪這個“所有人的強弱不相上下”的數學般的狀況，……這事是變得跟智力題差不多了。」,"""... Dato che c'è questa situazione matematica in cui tutti abbiamo la stessa forza... è quasi come un enigma.""","""... Ya que estamos en esta situación aritmética donde tenemos la misma fuerza... esto casi se parece a un rompecabezas."""
