Speaker,Steam (ST),Umineko Project (UP),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Traditional (CHT),Chinese Simplified (CN),Italian (Ars Magica) (Old) (ITA),Italian (Majotachi no Sub) (New) (IT)
,"Mammon spoke in a challenging way, but she wanted me to summon the other sisters somehow and rescue them from the world of nothingness. ","Mammon spoke as though to provoke me, but what she wanted was for me to summon the other sisters somehow and rescue them from the world of nothingness.",マモンは、挑発するような口ぶりでいるが、他の姉妹を何とか呼び出し、虚無の世界から救ってやりたいと思っているのだ。,[=JP],"Своими словами Мамона словно пыталась провоцировать меня, но на деле она хотела, чтобы я как‐нибудь призвала остальных сестёр и спасла их из небытия.","Mammon falou como se quisesse me provocar, mas o que ela queria era que eu invocasse as outras irmãs de alguma forma e as resgatasse do mundo do nada.",馬蒙雖在以挑釁般的口吻說話，但她是想設法讓其他姐妹也被召喚出來，將她們救出虛無的世界。,马蒙虽在以挑衅般的口吻说话，但她是想设法让其他姐妹也被召唤出来，将她们救出虚无的世界。,"Mammon parlò come per provocarmi, ma lei voleva farmi evocare le altre sorelle in qualche modo e liberarle dal mondo del nulla.",[=UP]
,"......If that's the case, all she's gotta do is say so. These demon people can never just say what they mean. ",".........Why not just be honest and ask me to, then?{n}Demons really are difficult.",………なら、素直にそうして下さいと言えりゃいいのに。悪魔って連中は本当に素直じゃない。,………なら、素直にそうして下さいと言えりゃいいのに。{n}悪魔って連中は本当に素直じゃない。,.........В таком случае от неё требуется лишь честно попросить меня.{n}До чего же трудно демонам быть честными.,.........Então por que ela não pode ser honesta e pedir isso?{n}Demônios são mesmo complicados.,………那麼，直說請我幫忙不就行了？{n}惡魔真是幫不老實的傢伙呢。,………那么，直说请我帮忙不就行了？{n}恶魔真是帮不老实的家伙呢。,"... In quel caso, tutto quello che deve farlo è ammetterlo onestamente. {n}Questi demoni non sono affatto onesti.",[=UP]
Ushiromiya Maria,"""......Ange, don't overdo it. You'll need plenty of rehabilitation just from summoning Mammon."" ",""".........Ange. Don't overdo it. Just being able to summon Mammon is more than enough rehabilitation.""",「………縁寿。無理しないで。マモンを呼び出せただけで、リハビリには十分だよ。」,「………縁寿。無理しないで。マモンを呼び出せただけで、リハビリには十分だよ」,""".........Энджи. Не перестарайся. Тебе нужно как следует отдохнуть после призыва Мамоны.""",""".........Ange. Não exagere. Apenas ser capaz de invocar a Mammon é mais do que o bastante para a sua reabilitação.""",「………緣壽。不要勉強。光是能召喚出馬蒙，就已經恢復充分了喲。」,「………缘寿。不要勉强。光是能召唤出马蒙，就已经恢复充分了哟。」,"""... Ange. Non strafare. Avrai bisogno di sufficiente riposo solo per aver evocato Mammon.""",[=UP]
Ushiromiya Ange,"""Oh, I'll need to rehabilitate after just one? Well, I'm just killing time anyway. ......Okay, Mammon. I've gone this far. I'll call as many as I can."" ","""Oh, I'm rehabilitated after just one? I'm just killing time anyway. .........Alright, Mammon. In for a penny, in for a pound. I'll call as many as I can for you.""",「あら、１人だけでリハビリになっちゃうの？　どうせ暇潰しよ。………いいわ、マモン。乗りかかった船だわ。呼べるところまで呼んであげる。」,「あら、１人だけでリハビリになっちゃうの？　どうせ暇潰しよ。………いいわ、マモン。乗りかかった船だわ。呼べるところまで呼んであげる」,"""О, так мне нужен отдых после призыва всего лишь одной? Что ж, я ведь так и так убиваю время. .........Ладно, Мамона. Я так и так уже разогрелась. Призову стольких, скольких смогу.""","""Oh, eu estou reabilitada após invocar apenas uma? De qualquer forma, só estou matando tempo. .........Certo, Mammon. Se começamos, vamos até o fim. Eu irei chamar quantas eu puder.""",「啊啦，光一個就恢復了？反正是打發時間。………好吧，馬蒙。一不做，二不休。能召喚出幾個，就給你召喚出幾個。」,「啊啦，光一个就恢复了？反正是打发时间。………好吧，马蒙。一不做，二不休。能召唤出几个，就给你召唤出几个。」,"""Oh, devo riposarmi solo dopo una? Beh, in ogni caso sto solo ammazzando il tempo. ... D'accordo, Mammon. Mi sono già scaldata. Ne chiamerò più che posso.""",[=UP]
Mammon,"""Really...?! Not bad, Ange-sama! Okay, quickly, quickly!"" ","""Really......?! Niiice, Ange‐sama! Alright, go go go!""",「本当に……？！さっすが縁寿さまぁ！　さぁさ、早くっ、早くっ！」,「本当に……？！　さっすが縁寿さまぁ！　さぁさ、早くっ、早くっ！」,"""Правда?! Неплохо Энджи‐сама! Хорошо, скорее, скорее!""","""Mesmo......?! Como esperado da Ange‐sama! Vamos, rápido, rápido!""",「真的……？！不愧是緣壽小姐！來——來，快、快！」,「真的……？！不愧是缘寿小姐！来——来，快、快！」,"""Davvero...?! Niente male, Ange-sama! D'accordo, svelta, svelta!""",[=UP]
,"Apparently, even though she'd asked, Mammon hadn't really expected Ange to do this. ","Even though she had said it, it seemed that Mammon hadn't really expected to be able to ask this of Ange.",マモンは、言ってはみたものの、本当に頼めるとは思ってなかったらしい。,[=JP],"Похоже, что несмотря на сказанные ею ранее слова, Мамона не ожидала, что Энджи даст согласие.","Mesmo dizendo isso, parecia que Mammon não estava realmente esperando ser capaz de pedir isso a Ange.",看來馬蒙雖然說了這話，但內心中並沒有想到真的可以去拜託緣壽。,看来马蒙虽然说了这话，但内心中并没有想到真的可以去拜托缘寿。,"Sembrava che anche se l'aveva detto, Mammon non si aspettasse davvero che Ange lo facesse.",[=UP]
,"She hopped around, badgering Ange to summon the other sisters. ","She hopped around, badgering Ange to summon the other sisters.",ぴょんぴょん飛び跳ねながら、縁寿に他の姉妹たちの召喚をせがむ。,[=JP],"Теперь она прыгала вокруг Энджи, выклянчивая призвать остальных сестёр.","Ela estava pulando de um lado ao outro, incomodando Ange para invocar as outras irmãs.",她一邊蹦蹦跳跳，一邊纏著緣壽快去召喚其他姐妹。,她一边蹦蹦跳跳，一边缠着缘寿快去召唤其他姐妹。,"Saltò in giro, tormentando Ange per far evocare le altre sorelle.",[=UP]
,...Summoning Mammon alone consumed a considerable amount of physical and magical power. ...It'll probably be pretty tough to do six more. ,......The consumption of physical and magical power used to call Mammon alone was considerable.{n}...It will probably be pretty tough to do six more.,……マモンを呼ぶだけで、体力と魔力の消耗は著しい。…さらに６人は、かなり難しいだろう。,……マモンを呼ぶだけで、体力と魔力の消耗は著しい。{n}…さらに６人は、かなり難しいだろう。,......Призыв одной только Мамоны затребовал колоссальных затрат физических и магических сил.{n}...Призыв остальных шести будет как пить дать тяжёлой задачей.,......O consumo de poder físico e mágico usado para chamar apenas Mammon já era considerável.{n}...Provavelmente seria bem difícil chamar mais seis.,……光是召喚馬蒙就消耗了大量的體力與魔力。{n}…再去召喚六個恐怕十分艱難吧。,……光是召唤马蒙就消耗了大量的体力与魔力。{n}…再去召唤六个恐怕十分艰难吧。,... Il consumo di potere magico e fisico usato per chiamare anche solo Mammon era considerevole. ... Probabilmente sarà piuttosto dura evocarne altre sei.,[=UP]
,...I'm awed by the magical power of those who can summon sisters like this at will with a snap of their fingers...and who therefore reach the level where they can be called witches. ,"......I'm in awe of the magical power of those who reach the level of being called witches, because those people can summon these sisters with no more than a snap of their fingers.",……こんな姉妹を、指一つ鳴らすだけで自在に呼び出せるのだから、魔女と呼ばれる域の連中の魔力は恐れ入る。,[=JP],"......Я трепещу перед магической силой тех, кто способен призвать сестёр всего лишь щелчком пальцев, и которые достигли уровня, на которым их можно назвать ведьмами.","......Estou apavorada com o poder mágico daqueles que chegam ao nível de serem chamados de bruxas, porque essas pessoas podem invocar essas irmãs fazendo não mais do que um simples estalar de dedos.",……正是因為到達魔女領域的那些人僅靠打個響指就能隨心所欲地召喚出這幫姐妹，所以他們的魔力才令人生畏。,……正是因为到达魔女领域的那些人仅靠打个响指就能随心所欲地召唤出这帮姐妹，所以他们的魔力才令人生畏。,"... Sono in soggezione del potere magico di coloro che possono evocare le sorelle così a comando con uno schiocco di dita, e di chi per di più raggiunge il livello in cui possono essere chiamati streghe.",[=UP]
Ushiromiya Maria,"""Mammon, don't make Ange overdo it. She still isn't at her best..."" ","""Mammon, don't make Ange overdo it. She still isn't back to form yet...""",「マモン、縁寿に無理をさせないで。縁寿はまだ本調子じゃないから…。」,「マモン、縁寿に無理をさせないで。縁寿はまだ本調子じゃないから…」,"""Мамона, не вынуждай Энджи перегибать палку. Энджи всё ещё не удалось вернуться в прежнее состояние...""","""Mammon, não faça com que a Ange se esgote. Ela ainda não voltou a ser como era...""",「馬蒙，不要勉強緣壽。緣壽還沒有恢復到正常狀態…」,「马蒙，不要勉强缘寿。缘寿还没有恢复到正常状态…」,"""Mammon, spingere Ange a strafare. Ange non è ancora nelle sue normali condizioni...""",[=UP]
Mammon,"""Whaaat?! Ange-sama said she'd summon everyone!"" ","""Whaaaa?! Ange‐sama said that she'd summon everyone!""",「えぇー？！　縁寿さまはみんなを召喚してくれるって言いましたぁ！」,[=JP],"""Ась?! Она же сказала, что призовёт всех!""","""Ehhhhh?! A Ange‐sama disse que vai invocar todas!""",「哎哎——？！緣壽小姐說了，會幫我召喚出大家的啊！」,「哎哎——？！缘寿小姐说了，会帮我召唤出大家的啊！」,"""Hu-h?! Ange-sama ha detto che avrebbe evocato tutti!""",[=UP]
,"Actually, I only said I'd call as many as I could. ...I guess that's greed for you. ","Actually, I only said that I'd call as many as I could.{n}......Guess this is greed.",呼べるところまで呼ぶとしか言ってないのに。……やっぱり強欲ね。,呼べるところまで呼ぶとしか言ってないのに。{n}……やっぱり強欲ね。,"Вообще‐то я сказала, что призову стольких, скольких смогу.{n}......Вот она, жадность.","Na verdade, eu disse que iria chamar quantas eu pudesse.{n}......Acho que isso é a ganância.",我明明只說了，能召喚出幾個，就召喚出幾個。{n}……果然好貪婪呢。,我明明只说了，能召唤出几个，就召唤出几个。{n}……果然好贪婪呢。,"In realtà, ho solo detto che ne avrei chiamate più che potevo. ... Credo che questa sia l'avidità.",[=UP]
Ushiromiya Maria,"""Don't overdo it, Ange. You should rest for today. You're tired enough."" ","""Don't overdo it, Ange. You should rest for today. You're tired enough.""",「無理しないで、縁寿。もう今日は休んだ方がいい。君は十分疲れてるよ。」,「無理しないで、縁寿。もう今日は休んだ方がいい。君は十分疲れてるよ」,"""Не перестарайся, Энджи. Лучше передохни. Ты слишком устала.""","""Não se esforce demais, Ange. Você deveria descansar por hoje. Já está cansada demais.""",「別勉強，緣壽。今天還是先去休息吧。你已經相當累了哦。」,「别勉强，缘寿。今天还是先去休息吧。你已经相当累了哦。」,"""Non strafare, Ange. Dovresti riposarti per oggi. Sei sufficientemente stanca.""",[=UP]
Ushiromiya Ange,"""It's okay. I'm just killing time anyway. Let me get tired enough that I can just fall over asleep."" ","""It's alright. I'm just killing time anyway. Let me get tired enough so I can just keel over.""",「いいわよ。どうせ暇潰し。ばったり寝込めるくらいに疲れさせてもらうわ。」,「いいわよ。どうせ暇潰し。ばったり寝込めるくらいに疲れさせてもらうわ」,"""Всё путём. Я ведь всё равно убиваю время. Дайте мне устать настолько, чтобы провалиться в сон.""","""Está tudo bem. Eu só estou matando tempo mesmo. Me deixe ficar cansado a ponto de só conseguir ficar de joelhos.""",「沒關係。反正是打發時間。就讓我累到一倒頭就能睡著吧。」,「没关系。反正是打发时间。就让我累到一倒头就能睡着吧。」,""" È tutto a posto. In ogni caso sto solo ammazzando il tempo. Fammi stancare abbastanza da farmi cadere addormentata.""",[=UP]
,"...This time, there's no vessel. ",......This time there's no vessel.,……今度は依り代はない。,[=JP],......На этот раз сосуда нет.,......Dessa vez não há um receptáculo.,……這次沒有依代。,……这次没有依代。,... Questa volta non c'è nessun medium.,[=UP]
,I'll have to strengthen the image from my knowledge of the grimoire...and materialize them with just that. ,"I'll have to strengthen the image solely from the knowledge in the grimoire, and manifest them just with that.",魔導書の知識だけからイメージを強め、それだけで顕現しなくてはならない。,[=JP],"Мне придётся сделать чётче образ, полученный от знаний из гримуара и материализовать их лишь на этой основе.","Vou precisar ter força para imaginar apenas pelo conhecimento do grimório, e as manifestar apenas com isto.",只能靠魔導書的知識來加強印象，僅憑此來使之顯現。,只能靠魔导书的知识来加强印象，仅凭此来使之显现。,"Dovrò rinforzare l'immagine dalla mia conoscenza del grimorio, e materializzarle solo con quello.",[=UP]
,"I held my hands out into the air, replaying in my head the sensation from when I'd summoned Mammon... ","I held my hands out into the air, replaying in my head the sensation from when I had summoned Mammon......",虚空に両手をかざし、マモンを呼び出した時の感触を再び頭の中に再現する……。,[=JP],"Я вытянула руки вперёд, проигрывая в голове ощущение, возникшее, когда я призывала Мамону...","Eu levantei minhas mãos em meio ao ar, reavendo em minha cabeça a sensação de quanto eu invoquei Mammon......",把雙手舉向虛空，在腦中再現召喚出馬蒙時的感覺……。,把双手举向虚空，在脑中再现召唤出马蒙时的感觉……。,"Allungai le mani nell'aria, riproducendo nella mia testa la sensazione di quando avevo evocato Mammon...",[=UP]
,"I'm acquainted with all of the Seven Sisters, right? ...I've gotta remember that time, long ago, ...when I talked with them...... ","Come on, I know all of the Seven Sisters personally. ......Remember, in the past, ......the times I talked with them.........",七姉妹とは全員と面識があるじゃないか。……かつて、言葉を交わした時のことを、……思い出せ………。,[=JP],"Я ведь знакома со всей семёркой, верно? ......Надо вспомнить прошлое... Те времена, когда я беседовала с ними...","Venham, eu sei tudo sobre a personalidade das Seis Irmãs. ......Lembre‐se, no passado, ......os momentos em que eu falei com elas.........",我與七位姐妹全都認識。……去想起，以前一起聊天時的，……情景………。,我与七位姐妹全都认识。……去想起，以前一起聊天时的，……情景………。,"Sono familiare con tutte le Sette Sorelle, giusto? ... Ricorda, in passato... la volta che ho parlato con loro...",[=UP]
,"Once again, ...the power of magic began to fill me up. It let off a faint...and yet distinct pale light from both of my hands... ","Once again, ......the power of magic began to fill me up. It radiated as a faint, and yet distinct pale blue light from both of my hands......",再び、……魔法の力が満ち始める。それは両手からほのかに、そしてはっきりと青白い光となって放たれる……。,[=JP],"И вновь меня стала заполнять магическая сила. Она породила слабый, но различимый тусклый свет на обеих моих руках...","Mais uma vez, ......o poder da magia começou a tomar conta de mim. Irradiando uma fraca e, ainda assim, distinta luz azul pálida de ambas as minhas mãos......",魔法之力，……再次高漲。在我的雙手中，化為了由弱至強的藍白色的光，放射了出去……。,魔法之力，……再次高涨。在我的双手中，化为了由弱至强的蓝白色的光，放射了出去……。,"Ancora una volta... il potere della magia ricominciò a riempirmi. Fece uscire una piccola, e tuttavia decisa luce pallida da entrambe le mie mani...",[=UP]
Mammon,"""Ange-sama...! Hold on, hold on, good luck...! Hey, Lady {f:5:Maria}. Ange-sama's definitely gonna summon everyone, right? The Seven Sisters will get to be reunited again, right? Right?!"" ","""Ange‐sama...! Keep it up, keep it up, do your best...! Hey, Lady {f:5:Maria}. Ange‐sama will definitely summon everyone, right? The Seven Sisters will get to be reunited again, right? Right?!""",「縁寿さまっ…！　しっかりしっかり、がんばって…！ねぇ、マリア卿。縁寿さまは必ずみんなを呼び出して下さいますよね？　また七姉妹は再会できますよね？　ね？！」,「縁寿さまっ…！　しっかりしっかり、がんばって…！　ねぇ、マリア卿。縁寿さまは必ずみんなを呼び出して下さいますよね？　また七姉妹は再会できますよね？　ね？！」,"""Энджи‐сама!.. Держитесь, держитесь и удачи! Эй, Леди {f:5:Мария}. Энджи‐сама ведь обязательно призовёт всех, верно? И семь сестёр вновь воссоединятся? Верно?!""","""Ange‐sama...! Continue, continue, faça o seu melhor...! Ei, Lady {f:5:Maria}.{n}A Ange‐sama definitivamente vai invocar todas, certo? As Sete Irmãs vão se reunir mais uma vez, né? Né?!""",「緣壽小姐…！堅持堅持，加油…！瑪利亞卿。緣壽小姐一定會去幫我把大家召喚出來吧？我們七姐妹能夠再次團聚吧？能吧？！」,「缘寿小姐…！坚持坚持，加油…！玛利亚卿。缘寿小姐一定会去帮我把大家召唤出来吧？我们七姐妹能够再次团聚吧？能吧？！」,"""Ange-sama...! Resista, resista, buona fortuna...! Ehi, Lady MARIA. Ange-sama senza dubbio evocherà tutte, vero? Le Sette Sorelle saranno di nuovo riunite, vero? Vero?!""",[=UP]
Ushiromiya Maria,"""Yeah, definitely. ...But there's no guarantee that it'll happen tonight."" ","""Yeah, I'm sure of it. ......But there's no guarantee that it will happen tonight.""",「うん、きっとね。……でも、それが今夜という保証はないよ。」,「うん、きっとね。……でも、それが今夜という保証はないよ」,"""Да, непременно. ......Но нет никакой гарантии, что это случится сегодня.""","""Sim, tenho certeza que sim. ......Mas não há garantias de que isto vai acontecer esta noite.""",「嗯，一定能。……不過，無法保證會在今晚喲。」,「嗯，一定能。……不过，无法保证会在今晚哟。」,"""Sì, senza dubbio. ... Ma non c'è alcuna garanzia che accadrà stanotte.""",[=UP]
Mammon,"""Ange-sama can do it...! Please, Ange-sama...! Start with the youngest sister, Asmo...!"" ","""No, Ange‐sama can do it, I just know it...! Please, Ange‐sama...! Start from the youngest sister, Asmo...!""",「縁寿さまなら出来ますって…！　縁寿さま、お願い…！　末っ子の、アスモから…！」,[=JP],"""У Энджи‐самы получится! Прошу вас, Энджи‐сама! Начните с самой младшей сестры, Асмо!""","""Não, a Ange‐sama consegue, eu sei disso...! Por favor, Ange‐sama...! Comece pela irmã mais nova, Asmo...!""",「緣壽小姐，做得到的…！緣壽小姐，拜託了…！先從最小的阿絲磨開始…！」,「缘寿小姐，做得到的…！缘寿小姐，拜托了…！先从最小的阿丝磨开始…！」,"""Ange-sama può farcela...! La prego, Ange-sama...! Cominci dalla sorella più piccola, Asmo...!""",[=UP]
Ushiromiya Ange,"""......Asmodeus. The seventh sister. ......Got it. I'll call them in order starting from the youngest."" ",""".........Asmodeus. The seventh sister. ...............OK. I'll call them in order starting from the youngest.""",「………アスモデウス。７女。……………わかった。末っ子から順番に呼ぶわ。」,「………アスモデウス。７女。……………わかった。末っ子から順番に呼ぶわ」,""".........Асмодей. Седьмая сестра. .............Хорошо. Я призову их, начиная с младшей.""",""".........Asmodeus. A sétima irmã. ...............Certo. Eu irei chamá‐as em ordem, começando pela mais nova.""",「………阿絲磨。七女。……………知道了。就以從最小的開始的順序召。」,「………阿丝磨。七女。……………知道了。就以从最小的开始的顺序召。」,"""... Asmodeus. La settima sorella. ... Afferrato. Le chiamerò in ordine partendo dalla più piccola.""",[=UP]
,A strand of hot sweat dripped down from my forehead. ...This really is gonna be one hell of a burden to carry. ,A strand of hot sweat dripped down from my forehead.{n}......This really does put one hell of a strain on you.,額から、熱い汗がどろりと一筋、零れ落ちる。……やはり、かなりの負担が掛かる。,額から、熱い汗がどろりと一筋、零れ落ちる。{n}……やはり、かなりの負担が掛かる。,Струйка горячего пота потекла у меня по лбу.{n}......Это будет та ещё нагрузка.,Uma vertente de suor quente escorreu pela minha testa.{n}......Isto realmente colocou um peso considerável sobre mim.,從我的額頭上淌下了一行粘粘的熱汗。{n}……果然，負擔好重。,从我的额头上淌下了一行粘粘的热汗。{n}……果然，负担好重。,Un rivolo di sudore caldo scese dalla mia fronte. ... Questo sarà davvero un peso della miseria.,[=UP]
,The pale light in this space...began to slowly form into the outline of a girl... ,The pale light in this space......began to form into the vague outline of a girl...,空間の青白い光が、……ぼんやりと少女の輪郭を形作り始める…。,[=JP],Тусклый свет в пространстве начала понемногу вырисовывать очертания женской фигуры...,A pálida luz neste espaço......começou a tomar forma em um vago esboço de uma garota...,空間中的藍白色的光，……朦朦朧朧地開始編織起了少女的輪廓…。,空间中的蓝白色的光，……朦朦胧胧地开始编织起了少女的轮廓…。,La pallida luce in questo spazio... cominciò lentamente a trasformarsi nei contorni di una ragazza...,[=UP]
Ushiromiya Ange,"""......Come, arise. One of the Seven Stakes of Purgatory, Asmodeus of Lust..."" ",""".........Come, arise. One of the Seven Stakes of Purgatory, Asmodeus the Lustful...""",「………さぁさ、お出でなさい。煉獄の七杭が一つ、色欲のアスモデウス…。」,「………さぁさ、お出でなさい。煉獄の七杭が一つ、色欲のアスモデウス…」,""".........Приди, предстань. Одна из семи кинжалов чистилища, Асмодей, она же Похоть...""",""".........Venha, apareça. Uma das Sete Irmãs do Purgatório, Asmodeus, da Luxúria...""",「………來——來，出來吧。煉獄七樁之一，色慾的阿絲磨德烏絲…」,「………来——来，出来吧。炼狱七桩之一，色欲的阿丝磨德乌丝…」,"""... Vieni, sorgi. Uno dei Sette Pugnali del Purgatorio, Asmodeus della Lussuria...""",[=UP]
,"There was no vessel. ...However, as I held a strong conviction that she definitely did exist there as a core, ...her form began to crystallize... ","There was no vessel. ......However, with the strong core conviction that she definitely did exist there, ......I began to crystallize her form...",依り代はない。……しかし、そこに間違いなく存在するのだという、強い信念を核とし、……そこに姿を結晶させる…。,[=JP],"Сосуда не было. ......Но вместо него было твёрдое убеждение, что её сердцевина существовала там... И её облик начал выкристаллизовываться...","Não havia um receptáculo. ......Entretanto, com uma forte convicção de que ela existiria ali, ......eu comecei a cristalizar sua forma...",沒有依代。……然而，以“她毫無疑問就存在於那”的強烈信念為核，……在那裡積聚起了她的身形…。,没有依代。……然而，以“她毫无疑问就存在于那”的强烈信念为核，……在那里积聚起了她的身形…。,"Non c'era alcun medium. ... Comunque, con la forte convinzione che senza dubbio esisteva lì come anima... la sua forma cominciò a cristallizzare...",[=UP]
,"Her outline became distinct, ......and the form of the youngest of the Seven Sisters, Asmodeus, was finally created. ","Her outline became distinct, .........and the form of the youngest of the Seven Sisters, Asmodeus, was finally created.",輪郭がはっきりとし、………七姉妹の末っ子、アスモデウスの姿をついに生み出す。,[=JP],"Контуры её стали чётко различимы, и тело самой младшей из семи сестёр наконец‐то было создано.","Seu contornos se tornaram mais distintos, .........e a forma da mais jovem das Sete Estacas, Asmodeus, finalmente foi criada.",輪廓變得清晰，………最終完全創造出了，七姐妹中的小妹妹，阿絲磨德烏絲的外觀。,轮廓变得清晰，………最终完全创造出了，七姐妹中的小妹妹，阿丝磨德乌丝的外观。,"I suoi contorni divennero definiti... e la forma della più giovane delle Sette Sorelle, Asmodeus, venne infine creata.",[=UP]
Asmodeus,"""Asmodeus of Lust, right here... ......Where is this? Am I alive...?"" ","""Asmodeus the Lustful, right here...... .........Where is this? Am I alive......?""",「色欲のアスモデウス、ここに……。………ここはどこ？　私は生きてるの……？」,[=JP],"""Асмодей, она же похоть, на месте............Где я? Я что, живая?""","""Asmodeus, da Luxúria, está aqui...... .........Onde é aqui? Eu estou viva......?""",「色慾的阿絲磨德烏絲，在此……。………這裡是哪兒？我活著嗎……？」,「色欲的阿丝磨德乌丝，在此……。………这里是哪儿？我活着吗……？」,"""Asmodeus della Lussuria, eccomi qui... che posto è questo? Sono viva...?""",[=UP]
Mammon,"""Asmo...!! I'm so glad!!"" ","""Asmo...!! I'm so glad!!""",「アスモ…！！　良かったぁ！！」,[=JP],"""Асмо! Как же я рада!""","""Asmo...!! Ainda bem!!""",「阿絲磨…！！太好了——！！」,「阿丝磨…！！太好了——！！」,"""Asmo...!! Sono così felice!!""",[=UP]
Asmodeus,"""Mammon nee-san! ...Where in the world is this? Who summoned me?"" ","""Mammon nee‐san! ......Where in the world is this? Who summoned me?""",「マモン姉さん！　……ここは一体？　私を呼び出したのは誰なの？」,[=JP],"""Мамона нее‐сан! ......Да что же это за место, в конце концов? Кто призвал меня?""","""Mammon nee‐san! ......Onde nós estamos? Que me invocou?""",「馬蒙姐姐！……這裡到底是？召喚出我的人是誰？」,「马蒙姐姐！……这里到底是？召唤出我的人是谁？」,"""Mammon nee-san! ... Dove cavolo è questo posto? Chi mi ha evocata?""",[=UP]
Mammon,"""Ange-sama did...! Ange-sama said she'd revive all of us...!"" ","""Ange‐sama did...! Ange‐sama said she'd revive all of us...!""",「縁寿さまが…！　縁寿さまが私たちをみんな蘇らせてくれるって…！」,[=JP],"""Энджи‐сама! Энджи‐сама сказала, что воскресит нас всех!""","""A Ange‐sama...! A Ange‐sama disse que vai reviver todas nós...!""",「是緣壽小姐…！緣壽小姐說了，會讓我們全復活…！」,「是缘寿小姐…！缘寿小姐说了，会让我们全复活…！」,"""L'ha fatto Ange-sama...! Ange-sama ha detto che ci avrebbe fatto rivivere tutte...!""",[=UP]
,"...No, I didn't. ",...No I didn't.,…言ってない。,[=JP],...Вот врунья.,"...Não, eu não disse.",…沒說過。,…没说过。,"... No, non l'ho detto.",[=UP]
Asmodeus,"""Ange-sama, thank you! Do Belz next...!! Please...!"" ","""Ange‐sama, thank you! Next is Belzie...!! Do Belzie please...!""",「縁寿さま、ありがとう！　次はベルゼを…！！　ベルゼをお願いします…！」,[=JP],"""Спасибо вам, Энджи‐сама! Следующая Вельзи! Призовите Вельзи, прошу вас!""","""Ange‐sama, obrigada! A próxima é a Belzie...!! Traga a Belzie, por favor...!""",「緣壽小姐、謝謝！下一個貝露賽…！！拜託把貝露賽…！」,「缘寿小姐、谢谢！下一个贝露赛…！！拜托把贝露赛…！」,"""Ange-sama, la ringrazio! La prossima è Belz...!! Faccia Belz la prego...!""",[=UP]
Ushiromiya Ange,"""...Beelzebub. The sixth sister. ...Beelzebub of Gluttony. Come, arise..."" ","""......Beelzebub. The sixth sister. ......Beelzebub the Gluttonous. Come, arise...""",「……ベルゼブブ。６女。……暴食のベルゼブブ。さぁさ、お出でなさい…。」,「……ベルゼブブ。６女。……暴食のベルゼブブ。さぁさ、お出でなさい…」,"""......Вельзевул. Шестая сестра. ......Вельзевул, она же Чревоугодие. Приди, предстань...""","""......Beelzebub. A sexta irmã. ......Beelzebub, da Gula. Venha, apareça...""",「……貝露賽布布。六女。……暴食的貝露賽布布。來——來，出來吧…」,「……贝露赛布布。六女。……暴食的贝露赛布布。来——来，出来吧…」,"""... Beelzebub. La sesta sorella. ... Beelzebub della Gola. Vieni, sorgi...""",[=UP]
,"At this rate, ...I wonder how many I'll be able to summon. If I can't focus, ...this is probably it. ","If I just keep on like this, ......I wonder how many I can summon.{n}If I lose my concentration, ...that'll probably be it.",この流れで、……どこまで呼び出せるか。集中を欠いたら、…多分もう無理。,この流れで、……どこまで呼び出せるか。{n}集中を欠いたら、…多分もう無理。,"На скольких же ещё у меня хватит сил?{n}Если не смогу сосредоточиться, то придётся пока ограничиться лишь этим результатом.","Me pergunto quantas eu vou conseguir invocar, ......se eu apenas continuar assim.{n}Se eu perder minha concentração, ...provavelmente será o fim.",不知，……還能像這樣召喚出幾人。{n}只要精神稍不集中，…多半就會就此沒戲。,不知，……还能像这样召唤出几人。{n}只要精神稍不集中，…多半就会就此没戏。,A questo ritmo... mi chiedo quante riuscirò a evocarne. Se non riesco a concentrarmi... questo probabilmente è tutto.,[=UP]
,The pale light made an outline......and formed into Beelzebub. ,"The pale light made an outline, .........and formed into Beelzebub.",青白い光が輪郭を作り、………ベルゼブブを形作る。,[=JP],Тусклый свет образовал контур и сформировался в Вельзевула.,"A pálida luz formou os contornos, .........e deles formou‐se Beelzebub.",藍白色的光編織出輪廓，………構成了貝露賽布布的外形。,蓝白色的光编织出轮廓，………构成了贝露赛布布的外形。,La pallida luce creò dei lineamenti... e diede forma a Beelzebub.,[=UP]
Beelzebub,"""Beelzebub of Gluttony, right here..."" ","""Beelzebub the Gluttonous, right here......""",「暴食のベルゼブブ、ここに……。」,「暴食のベルゼブブ、ここに……」,"""Вельзевул, она же Чревоугодие, на месте...""","""Beelzebub, da Gula, está aqui......""",「暴食的貝露賽布布，在此……」,「暴食的贝露赛布布，在此……」,"""Beelzebub della Gola, eccomi qui...""",[=UP]
Mammon,"""Belzieee!!"" ","""Belzieee!!""",「ベルゼー！！」,[=JP],"""Вельзи!""",[=UP],「貝露賽——！！」,「贝露赛——！！」,"""Belz!!""",[=UP]
