Speaker,Steam (ST),Umineko Project (UP),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Traditional (CHT),Chinese Simplified (CN),Italian (Ars Magica) (Old) (ITA),Turkish (TR)
,The desire to triumph over my brother is part of my own personal revenge. ...I can't use George for that... ,Wanting to triumph over my brother was nothing more than my personal revenge.{n}...I mustn't use George for that..., Wanting to triumph over my brother was nothing more than my revenge....I couldn't use George for that...,兄を見返してやりたいのは私だけの復讐だ。…それに譲治を使ってはいけないのだ…。,兄を見返してやりたいのは私だけの復讐だ。{n}…それに譲治を使ってはいけないのだ…。,Желание восторжествовать над моим братом было не более чем моей местью.{n}...Я не могу использовать для этого Джорджа...,Querer triunfar sobre meu irmão não é nada mais do que minha vingança pessoal.{n}...Eu não devo usar o George para isso...,想向哥還以顏色，是我一個人的復仇。{n}…不可以利用讓治…。,想向哥还以颜色，是我一个人的复仇。{n}…不可以利用让治…。,Il trionfo su mio fratello non era altro che la mia vendetta. ... Non potrei mai usare George per questo...,Kardeşime karşı zafer kazanmak istemem kişisel intikamımdan başka bir şey değildi.{n}...George'u bunun için kullanmamalıyım...
Ushiromiya Eva,"""...So I'll take revenge myself. I have a plan to cheat Nii-san out of some of his money, with Rudolf and Rosa as my allies. I'll surely be able to get back at him. ...In any case, I'm sure that Nii-san is embezzling Father's assets..."" ","""......So I'll take revenge myself. I have a plan to cheat Nii‐san out of some of his money, with Rudolf and Rosa as my allies. I'll surely be able to get back at him. ...I mean, there's no doubt that Nii‐san is embezzling Father's assets...""","""......So I'll take revenge myself. I have a plan to cheat Nii-san out of some of his money, with Rudolf and Rosa as my allies. I'll surely be able to get back at him. ...In any case, I'm sure that Nii-san is embezzling Father's assets...""",「……だから、私自らが復讐するわ。留弗夫と楼座を味方に、兄さんからカネをせしめようという計画があるの。きっと一矢報いることができるわ。…何しろ、兄さんがお父様の資産を摘み食いしているのは確かなんだから…。」,「……だから、私自らが復讐するわ。留弗夫と楼座を味方に、兄さんからカネをせしめようという計画があるの。きっと一矢報いることができるわ。…何しろ、兄さんがお父様の資産を摘み食いしているのは確かなんだから…」,"""......Так что я отомщу сама. У меня есть план выманить у нии‐сана немного денег с Рудольфом и Розой в качестве союзников. Я непременно смогу воздать ему по заслугам. ...Как бы там ни было, я уверена, что нии‐сан растрачивает собственность отца...""","""......Por isso, eu assumirei essa vingança. Eu tenho um plano para enganar o {nobr:nii‐san} e conseguir um dinheiro dele, com o Rudolf e a Rosa como meus aliados. Eu tenho certeza que vou ser capaz de devolver na mesma moeda. ...Digo, não resta dúvidas de que o nii‐san está desviando os bens do pai...""",「……所以，由我自己來復仇。我拉攏了留弗夫與樓座，制定好了從哥那詐取錢財的計劃。一定可以報一箭之仇。…畢竟，哥在偷吃爸的資產是確切的事實…」,「……所以，由我自己来复仇。我拉拢了留弗夫与楼座，制定好了从哥那诈取钱财的计划。一定可以报一箭之仇。…毕竟，哥在偷吃爸的资产是确切的事实…」,"""... Per cui mi prenderò da sola la mia vendetta. Ho un piano per spillare a Nii-san un po' dei suoi soldi, con Rudolf e Rosa come alleati. Sarò certamente in grado di vendicarmi di lui. ... In ogni caso, sono sicura che Nii-san si stia appropriando dei beni di Papà...""","""......Bu yüzden intikamımı kendim alacağım. Rudolf ve Rosa'yı müttefikim yaparak Nii-san'ın parasının bir kısmını almak için bir planım var. Ondan intikam alabileceğimden eminim. ...Yani, Nii-san'ın babamın mallarını zimmetine geçirdiğine hiç şüphe yok..."""
,"""...What a boring plan. Why don't you just give up on that and cry yourself to sleep...?"" ","""...What a boring plan. Why don't you just give that up and cry yourself to sleep forever...?""","""...What a boring plan. Why don't you just give up and cry yourself to sleep...?""",「…つまんない計画。そんなのさっさとやめて、泣き寝入りでもしちゃえば…？」,[=JP],"""...Что за скучный план. Почему бы тебе просто не сдаться и уплакаться до сна, а?""","""...Que plano mais chato. Por que você não desiste disso e vai chorar sozinha em seu travesseiro...?""",「…無聊的計劃。不如早點做罷，趴床上哭去吧…？」,「…无聊的计划。不如早点做罢，趴床上哭去吧…？」,"""... Che piano noioso. Perché non ti limiti ad arrenderti e a piangere fino ad addormentarti...?""","""...Ne sıkıcı bir plan. Neden bundan vazgeçip sonsuza dek ağlayarak uyumuyorsun...?"""
Ushiromiya Eva,"""............"" ","""...........................""",""".....................""",「………………………。」,「………………………」,[=OG],[=UP],[=JPC],[=JPC],"""...""",[=UP]
,"""We will become the Ushiromiya Family Head. ...Don't mistake what your dream is. And believe me when I say it'll definitely come true. Believe in my magic."" ","""We will become the head of the Ushiromiya family. ......Don't try to confuse that dream. So believe me that you can definitely achieve it. Believe in my magic.""","""We will become the head of the Ushiromiya family. ......Don't try to confuse that dream. Therefore, believe in me, so that your dream will definitely be realized. Believe in my magic.""",「私たちは、右代宮家の当主になるの。……その夢を誤魔化さないで。だから絶対に叶えられると、私を信じて。私の魔法を、信じて。」,「私たちは、右代宮家の当主になるの。……その夢を誤魔化さないで。だから絶対に叶えられると、私を信じて。私の魔法を、信じて」,"""Мы станем главой семьи Уширомия. ......Не путай эту мечту с чем‐то другим. так что поверь в меня, чтобы твоя мечта обязательно воплотилась. Поверь в мою магию.""","""Nós iremos nos tornar a chefe da família Ushiromiya. ......Não tente confundir este sonho. Então acredite em mim que você definitivamente vai conseguir isso. Acredite na minha magia.""",「我們，要成為右代宮家的當主。……不要敷衍這個夢想。相信它絕對會實現，相信我。相信，我的魔法。」,「我们，要成为右代宫家的当主。……不要敷衍这个梦想。相信它绝对会实现，相信我。相信，我的魔法。」,"""Arriveremo al comando della famiglia Ushiromiya. ... Non cercare di confondere quel sogno. Per cui, credi in me, in modo che il tuo sogno venga realizzato. Credi nella mia magia.""","""Ushiromiya ailesinin başına geçeceğiz. ......Bu hayali bulandırmaya çalışma. Bu yüzden, bana inanırsan bunu kesinlikle başarabilirsin. Benim büyüme inan."""
Ushiromiya Eva,"""...If I believe, I wonder if any power will dwell in that magic."" ","""...If I believe, will the magic have power, I wonder.""","""...If I believe, I wonder if the magic will have any power.""",「…信じたら、魔法は力を持つのかしら。」,「…信じたら、魔法は力を持つのかしら」,"""...Если я поверю, получит ли магия хоть какую силу?""","""...Eu me pergunto se a magia realmente vai ficar mais forte se eu acreditar.""",「…信了，魔法就會具有魔力嗎。」,「…信了，魔法就会具有魔力吗。」,"""... Mi domando se avrà alcun effetto, se ci crederò.""","""...Eğer inanırsam, bu büyüden herhangi bir güç açığa çıkacak mı?"""
,"""It will. My magic can grant any wish with certainty."" ","""Yes. My magic can grant any wish without fail.""","""Yes. My magic can definitely grant any wish.""",「うん。私の魔法は、どんな願いも必ず叶えるの。」,「うん。私の魔法は、どんな願いも必ず叶えるの」,"""Да. Моя магия способна исполнить любое желание.""","""Sim. Minha magia pode garantir qualquer desejo, sem falha.""",「嗯。我的魔法，無論怎樣的願望，都必能實現。」,「嗯。我的魔法，无论怎样的愿望，都必能实现。」,"""Sì. La mia magia può esaudire per certo ogni desiderio.""","""Evet. Benim büyüm her dileği yerine getirebilir."""
Ushiromiya Eva,"""......... ...I'll believe. ...I'll believe, ...so create a miracle with that magic... ...If you don't, ...the hole in my heart will never heal..."" ",""".................. ......I'll believe. ......I'll believe, ...so create a miracle with that magic... ......If you don't, ......the hole in my heart will never heal......""",""".....................I'll believe. ......I'll believe, ...so create a miracle with that magic.........If you don't, ......the hole in my heart will never heal......""",「………………。……信じるわ。……信じるから、…その魔法で奇跡を起こして…。……そうでなくちゃ、……私の心の傷は、永久に癒されない……。」,「………………。……信じるわ。……信じるから、…その魔法で奇跡を起こして…。……そうでなくちゃ、……私の心の傷は、永久に癒されない……」,""".....................Я поверю. ......Поверю... так что создай чудо своей магией... ......Если не сделаешь этого... дыра в моём сердце никогда не затянется...""",""".................. ......Eu irei acreditar. ......Eu irei acreditar, ...então crie um milagre com essa magia... ......Se você não o fizer, ......o buraco em meu peito nunca será curado......""",「………………。……相信。……我相信，…快用這魔法引起奇跡吧…。……要不然，……我的心傷，永遠都不會癒合……」,「………………。……相信。……我相信，…快用这魔法引起奇迹吧…。……要不然，……我的心伤，永远都不会愈合……」,"""... Ci crederò. ... crederò... per cui crea un miracolo con quella magia... altrimenti... la ferita nel mio cuore non guarirà mai...""",""".................. ......İnanacağım. ......İnanacağım, ...o büyüyle bir mucize yarat... ......Eğer yaratmazsan, ......kalbimdeki delik asla iyileşmeyecek......"""
,"""Okay. ...Then listen well. Listen to my magic words. ...And understand. If we can solve the riddle, we can become the Ushiromiya Family Head. ...So lend me your ears and listen carefully..."" ","""Yes. ......Then, listen well. To my magic words. ......And understand them. If we can solve the riddle, we can become the Ushiromiya family head. ......So lend me your ears and listen carefully...""","""Yes. ......Then listen well. Listen to my magic words. ......And then understand. If we can solve the riddle, we can become the Ushiromiya family head. ......So lend me your ears and listen carefully...""",「うん。……なら、よく聞いて。私の魔法の言葉。……そしてそれを理解して。謎が解けたなら、私たちは右代宮家の当主になれるの。……だから耳を澄ましてよく聞いて…。」,「うん。……なら、よく聞いて。私の魔法の言葉。……そしてそれを理解して。謎が解けたなら、私たちは右代宮家の当主になれるの。……だから耳を澄ましてよく聞いて…」,"""Хорошо. ......Тогда слушай внимательно. Слушай мои волшебные слова. ......А затем пойми. Если мы сможем разгадать загадку, то сможем стать главой семьи Уширомия. ......Так что развесь уши и слушай...""","""Sim. ......Então, ouça bem. As minhas palavras mágicas. ......E entenda‐o. Se nós conseguirmos resolver o enigma, nós podemos nos tornar a chefe da família Ushiromiya. ......Para isso, empreste‐me seus ouvidos e ouça com atenção...""",「嗯。……那麼，聽好。我的魔法之言。……要將此好好理解。等解開了謎，我們就能成為右代宮家的當主。……所以洗淨耳朵好好聽…」,「嗯。……那么，听好。我的魔法之言。……要将此好好理解。等解开了谜，我们就能成为右代宫家的当主。……所以洗净耳朵好好听…」,"""Sì. ... Dunque ascolta bene. Ascolta le mie parole magiche. ... E dunque comprendi. Se possiamo risolvere l'enigma, possiamo arrivare a capo della famiglia Ushiromiya. ... Per cui prestami orecchio e ascolta attentamente...""","""Evet. ......O zaman iyi dinle. Büyülü sözlerimi. ......Ve onları anla. Eğer bulmacayı çözebilirsek Ushiromiya ailesinin başına geçebiliriz. ......Bu yüzden bana kulak ver ve dikkatlice dinle..."""
,"Behold the sweetfish river running through my beloved hometown. You who seek the Golden Land, follow its path downstream in search of the key... ","Behold the sweetfish river, running through my beloved home of old.{n}You who seek the Golden Land, follow its path downstream in search of the key......","My beloved hometown, the bountiful river running through it. You who seek the Golden Land, follow its path downstream and seek the key......",懐かしき、故郷を貫く鮎の川。黄金郷を目指す者よ、これを下りて鍵を探せ……。,懐かしき、故郷を貫く鮎の川。{n}黄金郷を目指す者よ、これを下りて鍵を探せ……。,"Через город родной мой, любимый, изобильная айю река катит воды свои.{n}Ты, кто ищет Золотую Землю, за её течением вниз последуй, в поисках желанного ключа.","O rio dos ayus passa pela minha amada cidade passada.{n}Aqueles que almejam pela Terra Dourada, sigam rio abaixo e procurem pela chave.......",令人懷念的，貫穿故鄉的鮎之川。{n}追尋黃金鄉之人啊，沿其而下尋找鑰匙吧……。,令人怀念的，贯穿故乡的鲇之川。{n}追寻黄金乡之人啊，沿其而下寻找钥匙吧……。,"La mia adorata città natale, il fiume di ayu che vi scorre attraverso. Tu che cerchi la Terra Dorata, segui il percorso fino a valle e cerca la chiave...","Tatlı balık nehrine bakın, sevgili memleketimin üzerinden geçen.{n}Anahtarın arayışında, akıntı yönündeki patikayı takip edeceksiniz, Altın Diyar'ın peşinde olan sizler......"
Ushiromiya Kyrie,"""Eva nee-san, it looks like we're about to arrive."" ","""Eva nee‐san. It looks like we're about to arrive.""","""Eva nee-san. It looks like we're about to arrive.""",「絵羽姉さん。そろそろ着くみたいですよ。」,「絵羽姉さん。そろそろ着くみたいですよ」,"""Ева нээ‐сан. Кажется, мы уже почти на месте.""","""Eva nee‐san. Parece que estamos chegando.""",「繪羽姐姐。差不多快要到了哦。」,「绘羽姐姐。差不多快要到了哦。」,"""Eva nee-san. Sembra che stiamo per arrivare.""","""Eva nee-san. Görünüşe göre varmak üzereyiz."""
,"When Kyrie shook her shoulders, Eva jumped and awoke from her doze. ","As her shoulder was tapped by Kyrie, Eva jumped and awoke from her doze.","When Kyrie shook her shoulders, Eva jumped and awoke from her doze.",霧江に肩を叩かれ、絵羽は過敏に反応してまどろみから醒める。,[=JP],"Когда Кирие потрясла её за плечо, Ева очнулась от дремоты и вскочила.","No momento em que Kyrie bateu em seu ombro, Eva deu um salto e acordou de seu sono.",霧江一拍她肩膀，繪羽就如神經過敏般地從磕睡中驚醒了。,雾江一拍她肩膀，绘羽就如神经过敏般地从磕睡中惊醒了。,"Quando Kyrie la scosse per le spalle, Eva sussultò e si riprese dal suo dormiveglia.",Kyrie omzuna dokunduğunda Eva sıçradı ve uykusundan uyandı.
Ushiromiya Eva,"""......! ......Ah, ...I'm sorry. I was half asleep."" ",""".........nh. .........Ah, ......I'm sorry. I was half asleep.""",""".........eh. .........Ah, ......I'm sorry. I was half asleep.""",「………ッ。………あ、……ごめんなさいね。寝惚けてたわ。」,「………ッ。………あ、……ごめんなさいね。寝惚けてたわ」,""".........Э... ах... извини. Я задремала.""",""".........nh. .........Ah, ......me desculpe. Eu estava um pouco sonolenta.""",「………。………啊、……對不起呢。睡糊塗了。」,「………。………啊、……对不起呢。睡糊涂了。」,"""... Eh. ... Ah... mi dispiace. Ero mezza addormentata.""",""".........nh. .........Ah, ......Üzgünüm. Dalmışım."""
Ushiromiya Kyrie,"""Sorry to scare you."" ","""Sorry for surprising you.""",[=UP],「驚かせてしまってごめんなさいね。」,「驚かせてしまってごめんなさいね」,"""Извини, что испугала тебя.""","""Desculpe por surpreender você.""",「抱歉，嚇到你了。」,「抱歉，吓到你了。」,"""Mi dispiace di averti sorpresa.""","""Şaşırttığım için özür dilerim."""
Ushiromiya Battler,"""Aunt Eva, you were out cold. Did you get up early this morning?"" ","""Auntie Eva, you were out cold. Did you get up early this morning?""","""Eva oba-san, you were out cold. Did you get up early this morning?""",「絵羽伯母さん、ぐっすりでしたね。朝はだいぶ早かったんすか？」,[=JP],"""Тётя Ева, ты спала как убитая. Рано встала этим утром?""","""Tia Eva, você está com sono, né? Acordou cedo essa manhã?""",「繪羽姑母，睡得好甜啊。早上起得很早嗎？」,「绘羽姑母，睡得好甜啊。早上起得很早吗？」,"""Eva oba-san, stavi fuori al freddo. Ti sei svegliata presto stamattina?""","""Eva Teyze, bayılmıştın. Bu sabah erken mi kalktın?"""
Ushiromiya Eva,"""...Maybe. I let you all see something embarassing. I'm sorry."" ","""......I suppose. How embarrassing, I must have looked quite disgraceful. I'm sorry.""","""......Ah, well. I showed you all something embarrassing. I'm sorry.""",「……まぁね。恥ずかしいところを見せちゃったわ。ごめんなさい。」,「……まぁね。恥ずかしいところを見せちゃったわ。ごめんなさい」,"""......Ах, ну, вот сконфузилась тут перед вами. Извините.""","""......Bem, sim. Que vergonha, eu devo estar parecendo bem desagradável.{n}Me desculpe.""",「……算是吧。讓大家見丑了。對不起哦。」,「……算是吧。让大家见丑了。对不起哦。」,"""... Ah, beh. Ho mostrato a tutti voi qualcosa di imbarazzante. Mi dispiace.""","""......Sanırım. Ne kadar utanç verici, oldukça komik görünmüş olmalıyım. Özür dilerim."""
Ushiromiya Jessica,"""Well, I'd say it's pretty impressive you were relaxed enough to sleep. Battler kept yelling ""We're gonna faaall, we're gonna drooown!"" Can't get bored with this guy around."" ","""Pretty impressed that you're relaxed enough to sleep, though? Not like Battler, he's been yelling the whole time about how he's gonna ""falllll"" and ""drowwwwn""! Can't get bored with this dude around.""","""Although it's nice that you had enough spare time to be able to sleep, right? Battler kept saying 'We're gonna fa-ll, we're gonna dro-wn!'. Can't get bored with this guy around.""",「眠れるくらい余裕があるのは大したもんだぜ？戦人なんか、ずっと落ちるーだの沈むーだの！　まったく退屈しないヤツだぜ。」,「眠れるくらい余裕があるのは大したもんだぜ？　戦人なんか、ずっと落ちるーだの沈むーだの！　まったく退屈しないヤツだぜ」,"""Однако хорошо, что тебе выпало достаточно времени поспать, верно? Баттлер всё вопил: 'Падаю, падаю, па‐а‐адаю!' С ним не соскучишься.""","""Bem impressionante que você esteja relaxada o bastante para dormir, não? Diferente do Battler, que passou o tempo todo gritando que ele iria ""caiiiir"" e se ""afogaaaar""! Não tem como ficar entediado com esse cara por perto.""",「這都能睡著的從容氣魄，可了不起哦？戰人那傢伙，一直都在吵著“要掉下去了啦——要沉了啦——”！真是個不會讓人犯悶的傢伙嘞。」,「这都能睡着的从容气魄，可了不起哦？战人那家伙，一直都在吵着“要掉下去了啦——要沉了啦——”！真是个不会让人犯闷的家伙嘞。」,"""Però è bello che tu abbia trovato del tempo libero per dormire, no? Battler ha continuato a ripetere ‘affonderemo, annegheremo!’. Impossibile annoiarsi con quel tipo in giro.""","""Yine de uyuyacak kadar rahat olman beni etkiledi. Battler sürekli ""düşeceekkk"" ve ""boğulacaağıım"" diye bağırıp duruyor! Bu adam etraftayken sıkılamazsın."""
Ushiromiya Battler,"""Sh-Shut up! All humans have at least one thing they're weak against...!"" ","""Sh‐shut up! Everyone has one or two things they don't like...!""","""Sh, shut up! All humans have at least one thing that they're bad at...!""",「う、うるせーな。人間誰しも苦手のひとつやふたつくらいあるもんだぜ…！」,[=JP],"""Д‐да ну тебя! У всех людей есть что‐нибудь, с чем они плохо справляются!""","""C‐Cala a boca! Todo mundo tem uma ou duas coisas com a qual não se dá bem...!""",「少、少煩！只要是個人就會有一兩樣弱項的…！」,「少、少烦！只要是个人就会有一两样弱项的…！」,"""Zi-Zitta! Tutti gli umani hanno almeno una cosa con cui non vanno d'accordo!""","""K-Kapa çeneni! Herkesin sevmediği bir ya da iki şey vardır...!"""
,"Battler and Jessica came in, messing around. Rudolf also made a face as if asking, ""Are you okay?"" ","Battler and Jessica went back out, squabbling merrily.{n}Rudolf also made a face as if asking, ""Are you alright?"".","Battler and Jessica came in, messing around. Rudolf also made a face as if asking, 'Are you alright?'.",戦人と朱志香は、はしゃぎながら出て行く。留弗夫も、大丈夫か？　という表情を見せた。,戦人と朱志香は、はしゃぎながら出て行く。{n}留弗夫も、大丈夫か？　という表情を見せた。,"Вошли дурачащиеся Баттлер с Джессикой.{n}Рудольф же выражением лица как бы спрашивал: ""Ты в порядке?"".","Battler e Jessica foram embora, discutindo de forma animada.{n}Rudolf fez uma expressão perguntando: ""Você está bem?"".""",戰人與朱志香吵吵鬧鬧地出去了。{n}留弗夫也露出了一副在問“沒事吧？”的表情。,战人与朱志香吵吵闹闹地出去了。{n}留弗夫也露出了一副在问“没事吧？”的表情。,"Battler e Jessica arrivarono, facendo scompiglio. Anche Rudolf fece una faccia come per chiedere, ‘Stai bene?’.","Battler ve Jessica neşeyle didişerek dışarı çıktılar.{n}Rudolf da ""İyi misin?"" diye sorar gibi bir yüz ifadesi takındı."
Ushiromiya Rudolf,"""Get ahold of yourself. When you see Dad and the rest, all that sleepiness'll go right out the window. Let's all give it our best, okay?"" ","""Get ahold of yourself. When you see the faces of Dad and the rest, all that sleepiness'll go right out the window. Let's do our best to stay firm, alright?""","""Get a hold of yourself. When you see the faces of Father and the rest, all that sleepiness'll go right out the window. Let's do our best to stay firm, alright?""",「しっかりしろよ。親父たちの顔を見れば、眠気もすっ飛ぶさ。せいぜいお互い、頑張ろうぜ？」,[=JP],"""Возьми себя в руки. Когда увидишь лица отца и остальных, вся эта сонливость как в трубу вылетит. Давай как следует постараемся сохранять твёрдость, ладно?""","""Controle‐se. Quando você ver o rosto do pai e dos outros, toda a sua sonolência vai direto pela janela. Vamos fazer o nosso melhor para nos mantermos firmes, certo?""",「振作點。等看了爸他們那幾張臉，睡意就會被吹跑了。咱們彼此，都好好加把勁吧？」,「振作点。等看了爸他们那几张脸，睡意就会被吹跑了。咱们彼此，都好好加把劲吧？」,"""Datevi una calmata. Quando vedrete la faccia di Papà e degli altri, la vostra sonnolenza volerà dritta fuori dalla finestra. Facciamo del nostro meglio per rimanere calmi, d'accordo?""","""Kendini topla. Babam ve diğerlerinin yüzlerini gördüğünde, tüm o uykulu halin birden uçup gidecek. Güçlü kalmak için elimizden geleni yapalım, tamam mı?"""
Ushiromiya Eva,"""...That's right. We have to keep it together, especially this year..."" ","""...That's right. We have to stay firm, especially this year...""",[=UP],「…そうね。特に今年は、しっかりしないとね…。」,「…そうね。特に今年は、しっかりしないとね…」,"""...Да. Мы должны проявить твёрдость, особенно в этом году...""","""...Pois é. Nós precisamos nos manter firmes, especialmente este ano...""",「…是呢。特別是今年，不振作起精神來可不行呢…」,「…是呢。特别是今年，不振作起精神来可不行呢…」,"""... Giusto. Dobbiamo essere decisi, soprattutto questo anno...""","""...Bu doğru. Güçlü olmalıyız, özellikle bu yıl..."""
Ushiromiya Rudolf,"""That's it. ...Let's all tighten our assholes and go."" ","""That's it. ...Let's tense up our assholes and do this thing.""","""That's it. ...Let's all tense up our assholes and go.""",「だな。…お互い、ケツの穴を引き締めて掛かろうぜ。」,「だな。…お互い、ケツの穴を引き締めて掛かろうぜ」,"""Вот именно. ...Так что давай напряжём наши анусы и вперёд.""","""É isso mesmo. ...Vamos levantar nossos traseiros e fazer isso.""",「是啊。…咱們彼此可都得勒緊了神經，小心行事。」,「是啊。…咱们彼此可都得勒紧了神经，小心行事。」,"""Esattamente. ... Facciamoci coraggio e andiamo.""","""Hepsi bu. ...Kıçlarımızı kaldıralım ve şu işi yapalım."""
,Rudolf said these strict words in a small voice that only Eva could hear. ,Rudolf said these strict words in a small voice that only Eva could hear.,[=UP],絵羽にしか聞こえない小声で、留弗夫は厳しめの言葉を掛ける。,[=JP],"Рудольф произнёс эти слова тихим голосом, чтобы услышала только Ева.",Rudolf disse aquelas rigorosas palavras com uma voz baixa que apenas Eva conseguiu ouvir.,留弗夫以只有繪羽能聽到的小聲，嚴苛地說。,留弗夫以只有绘羽能听到的小声，严苛地说。,Rudolf pronunciò quelle parole severe a voce molto bassa che solo Eva poté sentire.,Rudolf bu kararlı sözleri sadece Eva'nın duyabileceği küçük bir sesle söyledi.
,Failure would not be tolerated in this year's family conference. ...All of their companies were hanging in the balance. ,Failure would not be tolerated in this year's family conference.{n}......All of their companies were hanging in the balance., Failure would not be tolerated in this year's family conference.......All of their companies were hanging in the balance.,今回の親族会議では、負けは許されない。……自分たちの会社の命運がかかっているのだ。,今回の親族会議では、負けは許されない。{n}……自分たちの会社の命運がかかっているのだ。,Поражение на семейном собрании в этом году недопустимо.{n}......Все их компании были на волоске.,Uma falha não será tolerada na conferência familiar deste ano.{n}......As companhias de todos estavam penduradas com as contas.,本次親族會議，不容失敗。{n}……這關乎著他們各自公司的命運。,本次亲族会议，不容失败。{n}……这关乎着他们各自公司的命运。,Il fallimento non sarebbe stato tollerato nella conferenza di famiglia di quest'anno. ... Tutte le loro società erano in bilico.,Bu yılki aile konferansında başarısızlığa müsamaha gösterilmeyecekti.{n}......Hepsinin şirketleri pamuk ipliğinde sallanıyordu.
,Even Rudolf's face looked a little tense. Eva's expression probably looked tense as well. ,Even Rudolf's face looked a little tense.{n}Eva's expression probably looked tense as well., Even Rudolf's face looked a little tense. Eva's expression probably looked tense as well.,留弗夫の顔も、わずかに緊張しているように見えた。多分、絵羽の表情も、緊張しているように見えるだろう。,留弗夫の顔も、わずかに緊張しているように見えた。{n}多分、絵羽の表情も、緊張しているように見えるだろう。,Даже лицо Рудольфа выглядело слегка напряжённым.{n}Лицо Евы наверняка тоже.,Mesmo o rosto de Rudolf parecia um pouco tenso.{n}A expressão de Eva provavelmente parecia semelhantemente tensa.,從留弗夫的臉上，看到了一絲緊張。{n}多半，繪羽的表情，看起來也有點緊張吧。,从留弗夫的脸上，看到了一丝紧张。{n}多半，绘羽的表情，看起来也有点紧张吧。,Addirittura la faccia di Rudolf era piuttosto tesa. Anche il volto di Eva doveva sembrare teso.,Rudolf'un yüzü bile biraz gergin görünüyordu.{n}Eva'nın ifadesi de muhtemelen gergin görünüyordu.
Ushiromiya George,"""Mom, I have our luggage. Let's go up onto the deck."" ","""Mother, I have our luggage. Let's go up onto the deck.""","""Mom, I have our luggage. Let's go up onto the deck.""",「母さん、荷物を持つよ。甲板に上がろう。」,「母さん、荷物を持つよ。甲板に上がろう」,"""Мама, я взял наш багаж. Давай поднимемся на палубу.""","""Mãe, eu peguei nossas malas. Vamos subir para o convés.""",「媽媽，我來提行李。上甲板吧。」,「妈妈，我来提行李。上甲板吧。」,"""Madre, ho i nostri bagagli. Saliamo sul ponte.""","""Anne, bavullarımız bende. Güverteye çıkalım."""
Ushiromiya Eva,"""...Thank you. You really are considerate, George."" ","""...Thank you. You really are thoughtful, George.""","""...Thank you. You sure are reliable, George.""",「…ありがとう。譲治は本当に気が利くわね。」,「…ありがとう。譲治は本当に気が利くわね」,"""...Спасибо. Какой же ты надёжный мальчик, Джордж.""","""...Obrigada.  Você é mesmo prestativo, George.""",「…謝謝。讓治真的好懂事。」,「…谢谢。让治真的好懂事。」,"""... Grazie. Sei davvero affidabile, George.""","""...Teşekkürler. George, gerçekten çok düşüncelisin."""
Ushiromiya George,"""Why are you thanking me so suddenly? It's not like you, Mother."" ","""Why are you thanking me so suddenly? It's not like you, Mother.""",[=UP],「どうして急にお礼なんか。母さんらしくもない。」,「どうして急にお礼なんか。母さんらしくもない」,"""Чего это ты внезапно меня благодаришь? Это на тебя непохоже, мама.""","""Por que está me agradecendo de repente? Não é típico de você, mãe.""",「幹嘛突然道謝啊。不像媽媽呢。」,「干嘛突然道谢啊。不像妈妈呢。」,"""Perché mi ringrazi così all'improvviso? Non è da te, Madre.""","""Neden böyle aniden teşekkür ediyorsun? Bu hiç senlik değil anne."""
Ushiromiya Hideyoshi,"""Evaaa, Geooorge. We're there. Grab our luggage."" ","""Evaaa, Geoorge. We've arrived. Gather our luggage.""","""Eva-, Geo-rge. We've arrived. Gather our luggage.""",「絵羽ぁ、譲治ぃ。到着やで。荷物をまとめるんや。」,「絵羽ぁ、譲治ぃ。到着やで。荷物をまとめるんや」,"""Ева, Джордж. Мы прибыли. Берите наш багаж.""","""Evaaa, Geoorge. Nós chegamos. Juntem nossas coisas.""",「繪羽——，讓治——。到了吶。把行李收拾好。」,「绘羽——，让治——。到了呐。把行李收拾好。」,"""Eva, George. Siamo arrivati. Portate i nostri bagagli.""","""Evaaa, Geoorge. Geldik. Bavullarımızı alın."""
Ushiromiya Maria,"""Uu-! We're there, we're there! *giggle*!"" ","""Uu! Arrived, arrived! *giggle*giggle*!""","""Uu-! Arrived, arrived! Kya kya kya!""",「うー！　到着到着！　きゃっきゃっきゃ！」,[=JP],"""У‐у! Прибыли, прибыли! Кья‐кья‐кья!""","""Uu! Chegamos, chegamos! *risos*risos*!""",「嗚——！到了到了！哈哈哈！」,「呜——！到了到了！哈哈哈！」,"""Uu-! Arrivati, arrivati! Kya kya kya!""","""Uu! Geldik, geldik! *giggle*giggle*!"""
Ushiromiya Rosa,"""Hey, Maria! Stop running or you'll trip!"" ","""Hey, Maria! You'll fall, so stop running!""",[=UP],「こら、真里亞！　転ぶから走るのをやめなさい！」,[=JP],"""Эй, Мария! Ты упадёшь, так что перестань носиться!""","""Ei, Maria! Você vai cair, então pare de correr!""",「喂，真里亞！會摔跤的，不要跑！」,「喂，真里亚！会摔跤的，不要跑！」,"""Ehi, Maria! Potresti cadere, quindi smettila di correre!""","""Hey, Maria! Düşeceksin, koşmayı bırak!"""
